round,belief_accuracy
0,0.20114942528735633
1,0.20229885057471264
2,0.20344827586206896
3,0.2057471264367816
4,0.20689655172413793
5,0.20689655172413793
6,0.19310344827586207
7,0.19425287356321838
8,0.19540229885057472
9,0.19310344827586207
10,0.19540229885057472
11,0.19655172413793104
12,0.19885057471264367
13,0.19655172413793104
14,0.19655172413793104
15,0.2
16,0.20114942528735633
17,0.20229885057471264
18,0.2045977011494253
19,0.20804597701149424
20,0.20919540229885059
21,0.20919540229885059
22,0.20919540229885059
23,0.2103448275862069
24,0.21149425287356322
25,0.21264367816091953
26,0.21264367816091953
27,0.21379310344827587
28,0.21379310344827587
29,0.21379310344827587
30,0.21379310344827587
31,0.2149425287356322
32,0.2149425287356322
33,0.2149425287356322
34,0.1839080459770115
35,0.18620689655172415
36,0.18735632183908046
37,0.18620689655172415
38,0.1896551724137931
39,0.19080459770114944
40,0.19195402298850575
41,0.20689655172413793
42,0.20804597701149424
43,0.20919540229885059
44,0.21149425287356322
45,0.21149425287356322
46,0.21264367816091953
47,0.21379310344827587
48,0.1850574712643678
49,0.18735632183908046
50,0.18735632183908046
51,0.18850574712643678
52,0.18850574712643678
53,0.18850574712643678
54,0.1896551724137931
55,0.1896551724137931
56,0.1896551724137931
57,0.19310344827586207
58,0.19195402298850575
59,0.19195402298850575
60,0.19540229885057472
61,0.19425287356321838
62,0.19425287356321838
63,0.19655172413793104
64,0.2
65,0.20114942528735633
66,0.20114942528735633
67,0.20114942528735633
68,0.20344827586206896
69,0.20114942528735633
70,0.20114942528735633
71,0.2045977011494253
72,0.2045977011494253
73,0.2057471264367816
74,0.2057471264367816
75,0.20804597701149424
76,0.20919540229885059
77,0.20804597701149424
78,0.20804597701149424
79,0.20804597701149424
80,0.20689655172413793
81,0.20689655172413793
82,0.20804597701149424
83,0.20689655172413793
84,0.20689655172413793
85,0.20919540229885059
86,0.21264367816091953
87,0.2149425287356322
88,0.2160919540229885
89,0.21724137931034482
90,0.2206896551724138
91,0.21839080459770116
92,0.21954022988505748
93,0.21954022988505748
94,0.21839080459770116
95,0.2206896551724138
96,0.2206896551724138
97,0.2206896551724138
98,0.21954022988505748
99,0.21954022988505748
100,0.2218390804597701
101,0.2218390804597701
102,0.2218390804597701
103,0.2218390804597701
104,0.2218390804597701
105,0.22298850574712645
106,0.22298850574712645
107,0.22298850574712645
108,0.22413793103448276
109,0.22298850574712645
110,0.22413793103448276
111,0.22528735632183908
112,0.2264367816091954
113,0.2264367816091954
114,0.2264367816091954
115,0.22528735632183908
116,0.2264367816091954
117,0.22413793103448276
118,0.22528735632183908
119,0.22528735632183908
120,0.22528735632183908
121,0.2264367816091954
122,0.22873563218390805
123,0.23103448275862068
124,0.23218390804597702
125,0.23218390804597702
126,0.23563218390804597
127,0.2367816091954023
128,0.23793103448275862
129,0.23793103448275862
130,0.23793103448275862
131,0.23908045977011494
132,0.2413793103448276
133,0.2425287356321839
134,0.2425287356321839
135,0.2425287356321839
136,0.2425287356321839
137,0.2425287356321839
138,0.2425287356321839
139,0.2425287356321839
140,0.24367816091954023
141,0.24482758620689654
142,0.24482758620689654
143,0.2471264367816092
144,0.2482758620689655
145,0.2482758620689655
146,0.2482758620689655
147,0.24942528735632183
148,0.25057471264367814
149,0.25287356321839083
150,0.2540229885057471
