prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,9,False,0.7612019753941495,87,86,0.500040473732623,0.499959526267377,8.094746524595076e-05,0.693146895524182,1.0,0.0,0.31829000677169195,0.681709993228308,0.2908953567911635,0.7091046432088365
1,19,False,3.0186838042537865,116,111,0.5007164880991432,0.4992835119008568,0.001432976198286362,0.6931124211859314,0.9827586206896551,0.017241379310344827,0.891236822634787,0.10876317736521289,0.9066840434782739,0.0933159565217262
2,29,False,3.302920170709787,111,110,0.5004549804822708,0.4995450195177292,0.0009099609645415452,0.6931168186102364,0.972972972972973,0.02702702702702703,0.24360959595672382,0.7563904040432762,0.25081000160356653,0.7491899983964335
3,39,False,2.3107163711681777,93,92,0.5017380549475831,0.49826194505241694,0.003476109895166113,0.6930052189595706,0.967741935483871,0.03225806451612903,0.7704913653419484,0.22950863465805163,0.7654093121913781,0.23459068780862194
4,49,False,1.4400823354149528,94,93,0.5013011431044426,0.4986988568955574,0.0026022862088852516,0.6929923161400402,0.8936170212765957,0.10638297872340426,0.4369641626223693,0.5630358373776306,0.4421126682618526,0.5578873317381474
5,59,False,0.24451320378859473,105,103,0.5005585160279412,0.49944148397205873,0.0011170320558824831,0.6930638735257983,0.8952380952380953,0.10476190476190476,0.500127508723887,0.499872491276113,0.5005121455283884,0.49948785447161165
6,69,False,0.040900706421122056,98,96,0.5028996154111287,0.4971003845888713,0.005799230822257417,0.6928714006354981,0.8367346938775511,0.16326530612244897,0.4881692744417012,0.5118307255582988,0.4923852331093503,0.5076147668906497
7,79,False,0.007722591029726692,88,87,0.5014317120510029,0.4985682879489971,0.002863424102005796,0.6930355362112247,0.8863636363636364,0.11363636363636363,0.4881318676092142,0.5118681323907859,0.48965602869701386,0.510343971302986
8,89,False,0.004698578296063748,102,99,0.5012195365707534,0.49878046342924653,0.00243907314150682,0.6929772372398516,0.8235294117647058,0.17647058823529413,0.48849640819322065,0.5115035918067794,0.4912760998103049,0.5087239001896952
9,99,False,0.10091136520754862,114,113,0.5003150471431868,0.4996849528568132,0.0006300942863735615,0.6930750507298155,0.8333333333333334,0.16666666666666666,0.5141106965312826,0.48588930346871734,0.5160990683398832,0.4839009316601168
10,109,False,0.08742440179236147,104,103,0.5025836879165396,0.4974163120834604,0.005167375833079246,0.692916264461673,0.7980769230769231,0.20192307692307693,0.49098736643087965,0.5090126335691203,0.4955993506083584,0.5044006493916415
11,119,False,0.18273531151976416,77,74,0.5010187178943788,0.49898128210562126,0.0020374357887575356,0.6930335812258074,0.8181818181818182,0.18181818181818182,0.4469733636943552,0.5530266363056449,0.44867210100391375,0.5513278989960863
12,129,False,0.1333131872871819,114,109,0.5011231925533146,0.4988768074466854,0.002246385106629223,0.693049503649977,0.8245614035087719,0.17543859649122806,0.48041242516760335,0.5195875748323966,0.48152373332126985,0.5184762666787303
13,139,False,0.09685182641566226,106,105,0.5021704193181666,0.4978295806818332,0.004340838636333444,0.6929566042195203,0.7547169811320755,0.24528301886792453,0.5044794020926067,0.4955205979073934,0.505863077111374,0.4941369228886261
14,149,False,0.009939856437109111,96,95,0.5017072876713805,0.49829271232861944,0.0034145753427610726,0.6930076979368658,0.75,0.25,0.5020299009240814,0.49797009907591855,0.5033434736569147,0.49665652634308527
15,159,False,0.07034701824335614,97,95,0.5014625434223268,0.4985374565776732,0.0029250868446535905,0.6930270360052146,0.8350515463917526,0.16494845360824742,0.48414431315378254,0.5158556868462175,0.48606989110528337,0.5139301088947167
16,169,False,0.08042259263089217,94,92,0.5010792315888517,0.49892076841114835,0.0021584631777033514,0.6930465524597471,0.776595744680851,0.22340425531914893,0.5040412320948692,0.49595876790513077,0.5063728757537695,0.4936271242462304
17,179,False,0.0411809016660419,100,100,0.5012262672015585,0.4987737327984415,0.0024525344031169904,0.6930385696270617,0.8,0.2,0.49427500104675776,0.5057249989532422,0.49557530612589973,0.5044246938741004
18,189,False,0.0801868315295247,86,86,0.5020630165600829,0.49793698343991716,0.00412603312016574,0.6929599786781523,0.7209302325581395,0.27906976744186046,0.5142991413329505,0.4857008586670495,0.5156351996092784,0.48436480039072155
19,199,False,0.04232270953856683,92,89,0.5022643534566428,0.49773564654335706,0.004528706913285718,0.6929939653797998,0.7608695652173914,0.2391304347826087,0.5247670112265939,0.4752329887734061,0.5262922528081715,0.47370774719182845
20,209,False,0.07737157873366744,100,97,0.49957509758160923,0.5004249024183908,0.0008498048367815425,0.6930871725054764,0.59,0.41,0.543974706688145,0.45602529331185493,0.5455740633983766,0.45442593660162356
21,219,False,0.05486338156202734,111,105,0.5016241597491622,0.49837584025083786,0.0032483194983243258,0.6929864348088719,0.6936936936936937,0.3063063063063063,0.5306132626358541,0.46938673736414593,0.5316693356530484,0.46833066434695164
22,229,False,0.01292321038329716,94,94,0.5012410475033302,0.4987589524966698,0.002482095006660412,0.6930389432056677,0.7446808510638298,0.2553191489361702,0.5275476718434162,0.4724523281565837,0.5283029856435899,0.47169701435641015
23,239,False,0.056168693474754894,120,118,0.49974172777667436,0.5002582722233256,0.0005165444466512792,0.6931220658795549,0.6833333333333333,0.31666666666666665,0.5134784767656883,0.48652152323431175,0.51433903829325,0.48566096170675005
