round,i,j,r_i,r_j
0,15,6,-1.0,1.0
0,19,8,-1.0,1.0
0,18,19,-1.0,1.0
0,7,0,-1.0,1.0
0,4,8,-1.0,1.0
0,11,18,1.0,-1.0
0,9,13,-1.0,1.0
0,10,2,1.0,-1.0
0,8,16,-1.0,1.0
0,11,10,1.0,-1.0
0,17,13,1.0,-1.0
0,12,11,1.0,-1.0
0,11,1,-1.0,1.0
0,4,1,1.0,-1.0
1,16,10,1.0,-1.0
1,7,19,-1.0,1.0
1,2,18,1.0,-1.0
1,1,7,1.0,-1.0
1,1,18,1.0,-1.0
1,7,17,-1.0,1.0
1,17,15,-1.0,1.0
2,17,19,1.0,-1.0
2,9,14,-1.0,1.0
2,1,12,-1.0,1.0
2,15,8,-1.0,1.0
2,3,19,1.0,-1.0
2,19,10,-1.0,1.0
2,12,9,-1.0,1.0
2,19,1,-1.0,1.0
2,1,5,1.0,-1.0
3,16,2,-1.0,1.0
3,8,9,1.0,-1.0
3,8,14,-1.0,1.0
3,15,19,1.0,-1.0
3,1,11,-1.0,1.0
3,7,11,1.0,-1.0
3,12,19,1.0,-1.0
4,19,1,-1.0,1.0
4,8,14,-1.0,1.0
4,6,2,1.0,-1.0
4,4,0,1.0,-1.0
4,17,16,1.0,-1.0
4,0,4,1.0,-1.0
4,19,15,1.0,-1.0
4,19,17,1.0,-1.0
4,10,18,-1.0,1.0
4,15,2,-1.0,1.0
4,14,7,-1.0,1.0
4,4,6,1.0,-1.0
4,8,3,-1.0,1.0
5,14,10,1.0,-1.0
5,7,18,1.0,-1.0
5,9,18,-1.0,1.0
5,18,19,1.0,-1.0
5,4,9,1.0,-1.0
5,9,2,1.0,-1.0
5,13,3,-1.0,1.0
5,16,0,1.0,-1.0
5,17,14,1.0,-1.0
5,1,9,1.0,-1.0
5,13,12,1.0,-1.0
5,8,2,1.0,-1.0
6,10,13,1.0,-1.0
6,19,16,1.0,-1.0
6,5,3,1.0,-1.0
6,0,18,-1.0,1.0
6,15,18,1.0,-1.0
6,17,2,1.0,-1.0
6,3,16,1.0,-1.0
6,7,15,-1.0,1.0
6,10,15,-1.0,1.0
6,13,6,-1.0,1.0
7,7,17,-1.0,1.0
7,7,19,-1.0,1.0
7,15,3,-1.0,1.0
7,7,14,1.0,-1.0
7,5,8,1.0,-1.0
7,15,0,-1.0,1.0
7,18,7,1.0,-1.0
7,3,14,1.0,-1.0
8,12,4,-1.0,1.0
8,16,17,1.0,-1.0
8,0,7,1.0,-1.0
8,9,13,-1.0,1.0
8,2,7,1.0,-1.0
8,1,8,1.0,-1.0
8,0,15,-1.0,1.0
8,12,0,-1.0,1.0
9,17,14,-1.0,1.0
9,14,9,-1.0,1.0
9,18,12,-1.0,1.0
9,6,4,-1.0,1.0
9,3,7,-1.0,1.0
10,18,17,-1.0,1.0
10,8,13,-1.0,1.0
10,3,17,-1.0,1.0
10,14,5,-1.0,1.0
10,4,12,1.0,-1.0
10,15,19,-1.0,1.0
10,6,17,-1.0,1.0
10,8,2,-1.0,1.0
10,7,13,1.0,-1.0
10,8,9,1.0,-1.0
10,15,10,-1.0,1.0
10,5,3,1.0,-1.0
10,3,16,-1.0,1.0
10,6,5,1.0,-1.0
10,0,11,-1.0,1.0
11,3,8,-1.0,1.0
11,3,15,-1.0,1.0
11,5,19,-1.0,1.0
11,15,5,-1.0,1.0
11,7,5,-1.0,1.0
12,1,8,1.0,-1.0
12,11,5,1.0,-1.0
12,14,12,1.0,-1.0
12,11,6,-1.0,1.0
12,14,11,1.0,-1.0
12,12,5,-1.0,1.0
12,19,0,-1.0,1.0
12,9,19,-1.0,1.0
12,19,12,-1.0,1.0
12,15,8,-1.0,1.0
12,10,5,-1.0,1.0
12,6,8,1.0,-1.0
12,15,0,1.0,-1.0
12,8,19,-1.0,1.0
13,9,10,-1.0,1.0
13,10,11,1.0,-1.0
13,12,14,-1.0,1.0
13,14,15,1.0,-1.0
13,10,7,-1.0,1.0
13,8,2,1.0,-1.0
13,0,16,-1.0,1.0
13,6,18,-1.0,1.0
13,1,12,-1.0,1.0
13,7,6,1.0,-1.0
14,11,9,-1.0,1.0
14,19,8,-1.0,1.0
14,13,1,-1.0,1.0
14,16,7,1.0,-1.0
14,16,18,1.0,-1.0
14,18,6,-1.0,1.0
14,12,15,1.0,-1.0
14,1,11,-1.0,1.0
14,17,10,1.0,-1.0
14,2,16,-1.0,1.0
14,19,4,-1.0,1.0
14,7,2,1.0,-1.0
14,12,10,-1.0,1.0
15,8,14,1.0,-1.0
15,4,7,1.0,-1.0
15,10,8,-1.0,1.0
15,18,9,-1.0,1.0
15,15,19,1.0,-1.0
15,7,19,-1.0,1.0
15,12,18,-1.0,1.0
15,18,19,-1.0,1.0
15,16,5,-1.0,1.0
15,0,12,-1.0,1.0
15,2,10,1.0,-1.0
16,14,3,-1.0,1.0
16,16,1,-1.0,1.0
16,5,10,-1.0,1.0
16,13,7,1.0,-1.0
16,10,12,1.0,-1.0
16,16,9,1.0,-1.0
16,15,2,-1.0,1.0
16,11,14,1.0,-1.0
16,3,5,1.0,-1.0
16,17,11,-1.0,1.0
16,7,11,-1.0,1.0
17,2,13,1.0,-1.0
17,0,13,1.0,-1.0
17,19,1,1.0,-1.0
17,12,7,-1.0,1.0
17,16,2,-1.0,1.0
18,3,12,-1.0,1.0
18,15,14,-1.0,1.0
18,4,5,1.0,-1.0
18,10,2,-1.0,1.0
18,7,17,1.0,-1.0
18,3,10,-1.0,1.0
18,9,13,1.0,-1.0
18,13,12,1.0,-1.0
18,0,17,-1.0,1.0
18,19,3,-1.0,1.0
18,4,0,1.0,-1.0
18,11,10,-1.0,1.0
18,4,15,-1.0,1.0
18,12,7,-1.0,1.0
19,17,3,-1.0,1.0
