prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1
0,6,False,0.6030972495021458,79,74,0.2500522817713603,0.25015442610724803,0.24980315597758057,0.24999013614381113,0.00010214433588773275,1.3862446490257938,0.9367088607594937,0.0379746835443038,0.02531645569620253,0.0,0.5768591967050102,0.4231408032949899,0.551280219718172,0.4487197802818281,0.6371493131930194,0.3628506868069806,0.5922221389237775,0.40777786107622255
1,13,False,0.5450238529143968,60,57,0.25027141678363934,0.25079707857688344,0.24898003821084044,0.24995146642863672,0.0005256617932440921,1.3860408199331247,0.7666666666666667,0.15,0.08333333333333333,0.0,0.5149161446480989,0.4850838553519012,0.5298318570951766,0.4701681429048234,0.48211949707617807,0.5178805029238219,0.5061965500020019,0.4938034499979981
2,20,False,0.4649433198189087,75,67,0.2501310791353654,0.2505084190730451,0.24943543524743905,0.24992506654415042,0.0003773399376796882,1.3856396193420977,0.5466666666666666,0.22666666666666666,0.21333333333333335,0.013333333333333334,0.5872869020095871,0.4127130979904129,0.5866429192283001,0.41335708077169975,0.5886045087405749,0.411395491259425,0.5876568759921653,0.41234312400783474
3,27,False,0.3560309385098266,63,59,0.25054505378294467,0.2516683326734554,0.24791454947013014,0.24987206407346996,0.001123278890510726,1.3855439080744376,0.47619047619047616,0.2698412698412698,0.23809523809523808,0.015873015873015872,0.5263646048981733,0.4736353951018266,0.5284156522737816,0.4715843477262184,0.522271744757072,0.47772825524292806,0.5252212198073125,0.47477878019268743
4,34,False,0.41252913994636464,63,56,0.2504873839067755,0.25138878529902603,0.24819813543190283,0.24992569536229567,0.0009014013922505337,1.3857575705557992,0.4603174603174603,0.31746031746031744,0.2222222222222222,0.0,0.45354843479511836,0.5464515652048817,0.45530475050412533,0.5446952494958747,0.4498322311624394,0.5501677688375606,0.45254501363488775,0.5474549863651123
5,41,False,0.2627506708052194,80,75,0.2508152130781379,0.2525679142608552,0.24683492040658597,0.24978195225442096,0.0017527011827172534,1.3855233203095911,0.425,0.325,0.25,0.0,0.5004243456349905,0.4995756543650095,0.5033801639311001,0.4966198360689,0.49386412863950147,0.5061358713604985,0.4986973701910112,0.5013026298089889
6,48,False,0.013287889066738483,76,72,0.25064028824586354,0.25191170568174187,0.2475780298139586,0.24986997625843593,0.0012714174358783303,1.385770611312913,0.40789473684210525,0.3684210526315789,0.2236842105263158,0.0,0.49993239029087266,0.5000676097091272,0.5009673064743597,0.4990326935256403,0.49781155090387275,0.5021884490961271,0.4993472840095205,0.5006527159904796
7,55,False,0.08097424494165217,75,70,0.24988728652933773,0.24957504025235225,0.2504788404102062,0.2500588328081037,0.00031224627698547835,1.385763631958169,0.21333333333333335,0.32,0.4666666666666667,0.0,0.5141551719320723,0.4858448280679278,0.5150324838151003,0.48496751618489975,0.512437956141394,0.487562043858606,0.5136702321859304,0.4863297678140696
8,62,False,0.2581475124992814,66,56,0.25032686768095186,0.25102144352827627,0.24873895826702103,0.24991273052375082,0.0006945758473244079,1.3859378614598288,0.19696969696969696,0.4090909090909091,0.3939393939393939,0.0,0.46849251533909597,0.531507484660904,0.4691961936205739,0.5308038063794261,0.4671483513250718,0.5328516486749283,0.4681085103067926,0.5318914896932073
9,69,False,0.07691345609701135,67,60,0.24980174087667764,0.2492051591812502,0.2508718823617543,0.25012121758031797,0.0005965816954274505,1.385881370843283,0.23880597014925373,0.3582089552238806,0.3880597014925373,0.014925373134328358,0.4823320482184592,0.5176679517815408,0.48348608153384576,0.5165139184661541,0.47966532904688725,0.5203346709531127,0.4816470749667144,0.5183529250332857
10,76,False,0.08797851510682833,67,61,0.24999051658902155,0.24984158259158323,0.25011283978700344,0.25005506103239195,0.00014893399743831637,1.3858278027183808,0.08955223880597014,0.373134328358209,0.5223880597014925,0.014925373134328358,0.46678345164042573,0.5332165483595743,0.4679431816021834,0.5320568183978166,0.4642551434817241,0.535744856518276,0.46611222333268904,0.5338877766673109
11,83,False,0.2656322047280571,62,57,0.24983075279272313,0.24941313453218364,0.2506883487305981,0.2500677639444951,0.00041761826053948736,1.385641053774099,0.12903225806451613,0.3225806451612903,0.5483870967741935,0.0,0.42035301667766023,0.5796469833223398,0.42129407760119597,0.5787059223988041,0.41837615692739993,0.5816238430726002,0.41981625298064584,0.5801837470193542
12,90,False,0.10448131294179105,80,72,0.25006775401870096,0.2501146212269977,0.24979908582446134,0.25001853892984005,4.68672082967192e-05,1.3857882172295448,0.1125,0.4375,0.4375,0.0125,0.4386175991210612,0.5613824008789389,0.43992729321115254,0.5600727067888475,0.43579564717888675,0.5642043528211134,0.437860758071668,0.562139241928332
13,97,False,0.18515415627724602,53,48,0.2505624876834565,0.2515854390485236,0.2479301172700518,0.24992195599796815,0.0010229513650670818,1.3856945132830267,0.05660377358490566,0.6037735849056604,0.33962264150943394,0.0,0.47103573337450083,0.5289642666254992,0.47233007155617895,0.527669928443821,0.4683171143156748,0.5316828856843252,0.47029807316151795,0.529701926838482
14,104,False,0.19326045966768482,67,62,0.25020002750357384,0.2505267821260717,0.24928701171075662,0.24998617865959785,0.00032675462249787124,1.3858102578626363,0.1044776119402985,0.417910447761194,0.47761194029850745,0.0,0.43722167826361164,0.5627783217363884,0.43857139953706165,0.5614286004629384,0.43432167236397895,0.565678327636021,0.4364451478190235,0.5635548521809766
15,111,False,0.1799812479048476,78,74,0.2500704813945888,0.2501435923783278,0.24977491260795773,0.25001101361912564,7.311098373896652e-05,1.385885633836503,0.05128205128205128,0.5128205128205128,0.4358974358974359,0.0,0.46887748725309575,0.5311225127469044,0.4705270354698636,0.5294729645301365,0.4652929874379341,0.5347070125620659,0.46792330834621104,0.532076691653789
16,118,False,0.10409473419432462,65,63,0.2501539065546835,0.25045222952039736,0.24942307577245046,0.24997078815246895,0.00029832296571385974,1.385707677985255,0.046153846153846156,0.47692307692307695,0.47692307692307695,0.0,0.48727349100695405,0.512726508993046,0.489001814815071,0.510998185184929,0.48351773890160304,0.5164822610983969,0.48627252825354045,0.5137274717464596
17,125,False,0.10741041739762767,61,58,0.2505702615717897,0.2516001390259664,0.24790755275667403,0.24992204664556972,0.0010298774541767086,1.3857634171526336,0.03278688524590164,0.5081967213114754,0.45901639344262296,0.0,0.46826733444105745,0.5317326655589425,0.46994980689703286,0.5300501931029671,0.4647592766087728,0.5352407233912272,0.4673099444901114,0.5326900555098886
18,132,False,0.11145262347135121,58,55,0.25038871116225186,0.2509142108473034,0.24867928597824468,0.2500177920122001,0.0005254996850515559,1.3858066304820766,0.034482758620689655,0.5344827586206896,0.43103448275862066,0.0,0.4877621837764805,0.5122378162235195,0.4891925173963612,0.5108074826036387,0.48498166199604814,0.5150183380039518,0.4869726483447502,0.5130273516552498
19,139,False,0.027260801876891585,65,62,0.25012884341943364,0.25041191586274775,0.2494940287105943,0.24996521200722446,0.00028307244331410297,1.3858868347601117,0.07692307692307693,0.5076923076923077,0.4153846153846154,0.0,0.48327995586223405,0.516720044137766,0.4853035204853248,0.5146964795146752,0.4791396176437586,0.5208603823562414,0.48213921444991975,0.5178607855500803
20,146,False,0.041984845117553224,84,77,0.2505188617785681,0.25157502257162856,0.24802016276717267,0.2498859528826308,0.0010561607930604788,1.3856983124452638,0.011904761904761904,0.5714285714285714,0.39285714285714285,0.023809523809523808,0.4910456618504197,0.5089543381495802,0.4940082781747459,0.5059917218252541,0.484788746961913,0.515211253038087,0.4893522650857059,0.510647734914294
21,153,False,0.05356550780885101,76,73,0.2504889594290749,0.25149588108121645,0.24812900730838008,0.24988615218132865,0.001006921652141557,1.3857573300454178,0.013157894736842105,0.5394736842105263,0.4473684210526316,0.0,0.48163506978269555,0.5183649302173046,0.4847246136475336,0.5152753863524664,0.47512827183760886,0.5248717281623911,0.4798715208629655,0.5201284791370346
22,160,False,0.03532479984703089,81,75,0.2503967662197068,0.25126789485986856,0.24844895289219285,0.24988638602823202,0.0008711286401617557,1.385664460447706,0.012345679012345678,0.49382716049382713,0.49382716049382713,0.0,0.4879072702939456,0.5120927297060544,0.4911132533359844,0.5088867466640156,0.4812021105794204,0.5187978894205796,0.48608263110051225,0.5139173688994877
23,167,False,0.028584359308624387,77,70,0.2502228577573969,0.25067027020612603,0.24915267359315793,0.24995419844331915,0.0004474124487291453,1.3857174125321867,0.012987012987012988,0.4805194805194805,0.5064935064935064,0.0,0.48296900814283233,0.5170309918571676,0.48645247666737024,0.5135475233326298,0.47573579527911863,0.5242642047208814,0.48099236038626875,0.5190076396137312
24,174,False,0.022901043251456782,61,56,0.24984357937627752,0.24937167820982037,0.250689505108499,0.25009523730540306,0.0004719011664571504,1.3859843210026872,0.01639344262295082,0.4098360655737705,0.5737704918032787,0.0,0.48705875511800406,0.512941244881996,0.49060389462974485,0.5093961053702551,0.47961976050802313,0.5203802394919769,0.48503768080466275,0.5149623191953372
25,181,False,0.050225256985780314,80,67,0.24961854592118607,0.2489982361481688,0.2513589290570193,0.25002428887362593,0.0006203097730172746,1.3857170776626793,0.0125,0.45,0.5375,0.0,0.478317535940307,0.521682464059693,0.4821136911398406,0.5178863088601594,0.4703022407763152,0.5296977592236848,0.476147800017414,0.5238521999825859
26,188,False,0.028063155980612535,86,79,0.25027854898316254,0.2508802610568565,0.24891305344069475,0.24992813651928597,0.0006017120736939718,1.3856395456471526,0.023255813953488372,0.4883720930232558,0.4883720930232558,0.0,0.47356557347423306,0.5264344265257669,0.47777979427587636,0.5222202057241235,0.4646799994708187,0.5353200005291813,0.4711583889580247,0.5288416110419752
27,195,False,0.037772153131210524,73,69,0.2506825819839193,0.2522471117300193,0.24728858388435926,0.24978172240170235,0.0015645297460999963,1.3855360355969557,0.0,0.547945205479452,0.4520547945205479,0.0,0.4802482485831759,0.5197517514168242,0.48452574797722636,0.5154742520227736,0.47124202374666213,0.5287579762533379,0.4778069006740134,0.5221930993259867
28,202,False,0.022387429751518306,78,73,0.2505130526722548,0.25151656658698146,0.24806475142154866,0.2499056293192148,0.0010035139147266392,1.3855115832337026,0.01282051282051282,0.47435897435897434,0.5,0.01282051282051282,0.47637674311240275,0.5236232568875973,0.4808442133476246,0.5191557866523754,0.46700003123913736,0.5329999687608626,0.4738306199126441,0.5261693800873559
29,209,False,0.04638042606638036,73,66,0.24965244507430293,0.24912230638572927,0.2512124814253757,0.2500127671145919,0.0005301386885736559,1.3852586872297525,0.0273972602739726,0.3835616438356164,0.589041095890411,0.0,0.46841811507893627,0.5315818849210637,0.47328002354208837,0.5267199764579116,0.4581050539557839,0.5418949460442162,0.4656340611163431,0.5343659388836569
30,216,False,0.03561191026470757,60,55,0.2502992756739038,0.2509881616737829,0.2488095695230001,0.24990299312931316,0.0006888859998790964,1.385527658442095,0.016666666666666666,0.5,0.4666666666666667,0.016666666666666666,0.4747909537643909,0.525209046235609,0.47990836388003405,0.520091636119966,0.46393757219540815,0.5360624278045919,0.4718611812986534,0.5281388187013466
31,223,False,0.006733285538130179,56,51,0.2507067636821179,0.25231021217242694,0.24720203624101691,0.24978098790443823,0.001603448490309023,1.3855268562629557,0.0,0.625,0.35714285714285715,0.017857142857142856,0.4760673474913361,0.5239326525086639,0.48141424497986823,0.5185857550201317,0.4646180372297722,0.5353819627702279,0.47299253561908366,0.5270074643809163
32,230,False,0.027893610559418344,81,74,0.24921208046037494,0.24758609707497983,0.2530126079731772,0.250189214491468,0.0016259833853951022,1.3855468530328958,0.012345679012345678,0.41975308641975306,0.5555555555555556,0.012345679012345678,0.4712778375171662,0.5287221624828339,0.4768991081418989,0.5231008918581012,0.4592544801307492,0.5407455198692507,0.4680472950580005,0.5319527049419995
33,237,False,0.003559285038591108,87,82,0.25058542947681756,0.25206713819031334,0.24758505813390028,0.24976237419896893,0.0014817087134957885,1.3850736348206794,0.0,0.47126436781609193,0.5287356321839081,0.0,0.4717578559100728,0.5282421440899273,0.47788581723553375,0.5221141827644663,0.4586781128062932,0.5413218871937068,0.46823973351557985,0.5317602664844201
34,244,False,0.02086043934987527,71,63,0.24972845367523838,0.24940211922798777,0.25088689053612073,0.2499825365606531,0.0003263344472506091,1.3851314256139136,0.014084507042253521,0.4084507042253521,0.5633802816901409,0.014084507042253521,0.46833433592576496,0.5316656640742351,0.47496022046495534,0.5250397795350448,0.4542246676411483,0.5457753323588517,0.4645344219981187,0.5354655780018813
35,251,False,0.007799509604753451,64,59,0.25064364727482663,0.2520939143650244,0.24745450064651903,0.24980793771362989,0.0014502670901977432,1.3850267736847799,0.0,0.53125,0.46875,0.0,0.4670645870207149,0.5329354129792852,0.4738930870062216,0.5261069129937784,0.45253815998714203,0.547461840012858,0.4631492025877145,0.5368507974122855
36,258,False,0.02628206618253011,65,60,0.25057885326704876,0.2522113547982177,0.24750788662790324,0.24970190530683037,0.0016325015311689506,1.3849167404787774,0.0,0.5384615384615384,0.46153846153846156,0.0,0.4717949522418271,0.5282050477581729,0.47888329746208186,0.5211167025379182,0.45670000085100065,0.5432999991489993,0.4677287400372864,0.5322712599627137
37,265,False,0.027192862933022546,70,66,0.2504319204784233,0.25208718569994193,0.24787018159030946,0.24961071223132525,0.0016552652215186536,1.3848087688458595,0.0,0.5285714285714286,0.45714285714285713,0.014285714285714285,0.4768307359767613,0.5231692640232387,0.48466348706219586,0.5153365129378042,0.460147418712875,0.5398525812871249,0.47233663284887933,0.5276633671511207
38,272,False,0.056412426812922405,70,64,0.2502890442987655,0.2517969037790769,0.24832643782155306,0.24958761410060454,0.001507859480311402,1.3845014366695312,0.0,0.5714285714285714,0.42857142857142855,0.0,0.48699647460840473,0.5130035253915952,0.4953019875299594,0.5046980124700406,0.46920324243839034,0.5307967575616096,0.482218394592861,0.517781605407139
39,279,False,0.0020615632679524525,81,72,0.24923837941452243,0.24805572547427654,0.2526707048372045,0.25003519027399673,0.0011826539402458869,1.3848749080066691,0.0,0.4074074074074074,0.5679012345679012,0.024691358024691357,0.4869247105345654,0.5130752894654346,0.49551105241616505,0.5044889475838349,0.4685512138646567,0.5314487861353432,0.4819864686940959,0.5180135313059042
40,286,False,0.01932122130669018,83,80,0.2500504030740644,0.2510904910572874,0.2492196157054069,0.24963949016324127,0.0010400879832230259,1.3844840240832945,0.0,0.46987951807228917,0.5301204819277109,0.0,0.4904814089573293,0.5095185910426708,0.4994754729873675,0.5005245270126325,0.4712306191545645,0.5287693808454355,0.48530726170420213,0.5146927382957979
41,293,False,0.01832369176110268,64,59,0.2507048279616453,0.25321722911503336,0.24663908895668352,0.24943885396663776,0.0025124011533880775,1.3841976770709348,0.0,0.5625,0.4375,0.0,0.48748619173170565,0.5125138082682943,0.4969339438859246,0.5030660561140754,0.4672592618553534,0.5327407381446466,0.48204912733236216,0.5179508726676378
42,300,False,0.005884807177126748,69,66,0.25008864906164635,0.2514122343408695,0.2489468423448796,0.24955227425260448,0.0013235852792231606,1.384233566675524,0.0,0.5072463768115942,0.4927536231884058,0.0,0.48856181266106263,0.5114381873389374,0.49853398987165065,0.5014660101283495,0.4672613022973818,0.5327386977026182,0.48282939243319367,0.5171706075668063
43,307,False,0.018723880909141264,73,66,0.25103644013283816,0.2541147912621783,0.24544087685812213,0.24940789174686143,0.003078351129340129,1.3842543256513422,0.0,0.589041095890411,0.3972602739726027,0.0136986301369863,0.49198610788663816,0.5080138921133619,0.5022073073053966,0.4977926926946034,0.4700603448558332,0.5299396551441669,0.4860970320950224,0.5139029679049776
44,314,False,0.0398172334762305,53,51,0.24819971676656602,0.24507257992795645,0.2565171995601884,0.2502105037452891,0.0031271368386095733,1.3841070012242598,0.018867924528301886,0.41509433962264153,0.5471698113207547,0.018867924528301886,0.49887815035473115,0.5011218496452688,0.5089106595741117,0.4910893404258882,0.4775461855810215,0.5224538144189784,0.4931203004513376,0.5068796995486624
45,321,False,0.010855590667077147,62,55,0.25148250161837965,0.25570012425801636,0.2436062554209062,0.24921111870269763,0.004217622639636709,1.3843084483981203,0.0,0.6129032258064516,0.3870967741935484,0.0,0.5009250436339497,0.49907495636605037,0.51130604793852,0.48869395206148014,0.47874299895702893,0.5212570010429711,0.4949531343562809,0.505046865643719
46,328,False,0.03706990696970999,69,62,0.24855986347153097,0.24633842271629536,0.25504030483963724,0.2500614089725367,0.0022214407552356152,1.384021300643015,0.014492753623188406,0.4782608695652174,0.5072463768115942,0.0,0.4945551905316745,0.5054448094683255,0.5053051022446295,0.4946948977553705,0.4715652923433811,0.5284347076566189,0.4883682781607781,0.5116317218392219
47,335,False,0.01317696657101348,80,76,0.24928752012681135,0.2489564732936679,0.25200901831856415,0.2497469882609567,0.00033104683314344463,1.383739810191349,0.0,0.5,0.5,0.0,0.49234008238682264,0.5076599176131773,0.5033767622019081,0.4966232377980919,0.46884263003685495,0.531157369963145,0.48600114154262,0.51399885845738
48,342,False,0.039625469075009884,77,74,0.2510369331620402,0.25461051371966775,0.24512587940420755,0.2492266737140845,0.003573580557627576,1.3836244688060333,0.025974025974025976,0.5324675324675324,0.44155844155844154,0.0,0.4996516877806306,0.5003483122193694,0.511633781240136,0.488366218759864,0.4741800117169375,0.5258199882830624,0.49277423923783287,0.5072257607621671
49,349,False,0.005241658444704108,80,73,0.25007480616997346,0.25195738780937915,0.24862086352925475,0.24934694249139264,0.0018825816394056893,1.3828533110870769,0.0,0.525,0.45,0.025,0.49935276214498087,0.5006472378550192,0.511951275404398,0.488048724595602,0.4725090407509602,0.5274909592490398,0.49211407705725024,0.5078859229427498
50,356,False,0.010029172890481722,66,63,0.2505529722751058,0.2538073693459586,0.24655430703592374,0.24908535134301188,0.003254397070852788,1.3827820559933603,0.0,0.5303030303030303,0.4696969696969697,0.0,0.501241046217178,0.4987589537828219,0.5143497489439796,0.4856502510560204,0.47333798231642393,0.5266620176835761,0.4937123645623796,0.5062876354376205
51,363,False,0.04886518065614011,70,68,0.24820250420363854,0.24561831291660552,0.25615276454263936,0.25002641833711675,0.002584191287033022,1.382596745239123,0.014285714285714285,0.4142857142857143,0.5571428571428572,0.014285714285714285,0.49287286346690123,0.5071271365330988,0.5065512813809856,0.49344871861901446,0.4637881047298268,0.5362118952701732,0.4850194968297412,0.5149805031702588
52,370,False,0.023988441226863288,62,54,0.24853721839042067,0.24829622964716377,0.2538475722800359,0.2493189796823796,0.000240988743256898,1.3806052668803188,0.0,0.4838709677419355,0.5,0.016129032258064516,0.4894741729586447,0.5105258270413554,0.5044404516945548,0.49555954830544524,0.45760601030414144,0.5423939896958586,0.4808747008324784,0.5191252991675216
53,377,False,0.02223364102411777,58,56,0.2495317377544509,0.25076229465373784,0.2504004851792309,0.24930548241258033,0.0012305568992869442,1.381966733427161,0.0,0.4827586206896552,0.5,0.017241379310344827,0.4935432865469633,0.5064567134530367,0.5089809517483772,0.49101904825162285,0.4607557742201627,0.5392442257798374,0.48468406876966097,0.515315931230339
54,384,False,0.007082647036129321,73,69,0.249590204288081,0.2513237530885768,0.24994068413993126,0.249145358483411,0.0017335488004957822,1.3814676973567412,0.0,0.5342465753424658,0.4246575342465753,0.0410958904109589,0.49340998664216607,0.5065900133578338,0.5098049048516541,0.4901950951483459,0.4585141816774167,0.5414858183225832,0.48399017414307427,0.5160098258569257
