round,mce
0,0.6861680657766229
1,0.6861680657766229
2,0.6861680657766229
3,0.6861680657766229
4,0.6861680657766229
5,0.6861680657766229
6,0.7117079220103639
7,0.7117079220103639
8,0.7117079220103639
9,0.7117079220103639
10,0.7117079220103639
11,0.7117079220103639
12,0.7117079220103639
13,0.696442649058218
14,0.696442649058218
15,0.696442649058218
16,0.696442649058218
17,0.696442649058218
18,0.696442649058218
19,0.696442649058218
20,0.6659481049873763
21,0.6659481049873763
22,0.6659481049873763
23,0.6659481049873763
24,0.6659481049873763
25,0.6659481049873763
26,0.6659481049873763
27,0.6685967123591414
28,0.6685967123591414
29,0.6685967123591414
30,0.6685967123591414
31,0.6685967123591414
32,0.6685967123591414
33,0.6685967123591414
34,0.6663357904904113
35,0.6663357904904113
36,0.6663357904904113
37,0.6663357904904113
38,0.6663357904904113
39,0.6663357904904113
40,0.6663357904904113
41,0.6657043612523187
42,0.6657043612523187
43,0.6657043612523187
44,0.6657043612523187
45,0.6657043612523187
46,0.6657043612523187
47,0.6657043612523187
48,0.6656530092770586
49,0.6656530092770586
50,0.6656530092770586
51,0.6656530092770586
52,0.6656530092770586
53,0.6656530092770586
54,0.6656530092770586
55,0.6663822320362989
56,0.6663822320362989
57,0.6663822320362989
58,0.6663822320362989
59,0.6663822320362989
60,0.6663822320362989
61,0.6663822320362989
62,0.6658395883930532
63,0.6658395883930532
64,0.6658395883930532
65,0.6658395883930532
66,0.6658395883930532
67,0.6658395883930532
68,0.6658395883930532
69,0.6666805203728142
70,0.6666805203728142
71,0.6666805203728142
72,0.6666805203728142
73,0.6666805203728142
74,0.6666805203728142
75,0.6666805203728142
76,0.6663690280457217
77,0.6663690280457217
78,0.6663690280457217
79,0.6663690280457217
80,0.6663690280457217
81,0.6663690280457217
82,0.6663690280457217
83,0.6664626786257631
84,0.6664626786257631
85,0.6664626786257631
86,0.6664626786257631
87,0.6664626786257631
88,0.6664626786257631
89,0.6664626786257631
90,0.6668347132710855
91,0.6668347132710855
92,0.6668347132710855
93,0.6668347132710855
94,0.6668347132710855
95,0.6668347132710855
96,0.6668347132710855
97,0.6662642313510612
98,0.6662642313510612
99,0.6662642313510612
100,0.6662642313510612
101,0.6662642313510612
102,0.6662642313510612
103,0.6662642313510612
104,0.6664648895927883
105,0.6664648895927883
106,0.6664648895927883
107,0.6664648895927883
108,0.6664648895927883
109,0.6664648895927883
110,0.6664648895927883
111,0.6664500030263267
112,0.6664500030263267
113,0.6664500030263267
114,0.6664500030263267
115,0.6664500030263267
116,0.6664500030263267
117,0.6664500030263267
118,0.6662585398431183
119,0.6662585398431183
120,0.6662585398431183
121,0.6662585398431183
122,0.6662585398431183
123,0.6662585398431183
124,0.6662585398431183
125,0.6661217518256989
126,0.6661217518256989
127,0.6661217518256989
128,0.6661217518256989
129,0.6661217518256989
130,0.6661217518256989
131,0.6661217518256989
132,0.66639852487524
133,0.66639852487524
134,0.66639852487524
135,0.66639852487524
136,0.66639852487524
137,0.66639852487524
138,0.66639852487524
139,0.6665912103653469
140,0.6665912103653469
141,0.6665912103653469
142,0.6665912103653469
143,0.6665912103653469
144,0.6665912103653469
145,0.6665912103653469
146,0.6660065847144158
147,0.6660065847144158
148,0.6660065847144158
149,0.6660065847144158
150,0.6660065847144158
151,0.6660065847144158
152,0.6660065847144158
153,0.666003465918177
