prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1
0,6,False,1.1299461538637876,59,55,0.33320328331573756,0.33350922746016765,0.33328748922409474,0.00030594414443008144,1.0986077815929352,0.9491525423728814,0.05084745762711865,0.0,0.6997884882595824,0.3002115117404176,0.7282740202059788,0.27172597979402136,0.7077903575017007,0.29220964249829934
1,13,False,2.0435098450296123,78,75,0.333320261856917,0.33335186830166447,0.3333278698414179,3.1606444747478424e-05,1.0985897608136734,0.9358974358974359,0.0641025641025641,0.0,0.3264494469922819,0.6735505530077182,0.30833705687090035,0.6916629431290997,0.32113456642510363,0.6788654335748965
2,20,False,1.6898294520212003,63,59,0.33445519004723423,0.33182651433948984,0.3337182956132759,0.002628675707744388,1.0985104628959366,0.8571428571428571,0.14285714285714285,0.0,0.6493491447486536,0.3506508552513464,0.6507337265481319,0.34926627345186806,0.6498726693007892,0.35012733069921065
3,27,False,0.24153086362224144,63,58,0.3336679419931332,0.33290179173414486,0.3334302662727219,0.0007661502589883518,1.098478940021651,0.6984126984126984,0.30158730158730157,0.0,0.6022310744192062,0.39776892558079385,0.6061729302130063,0.39382706978699367,0.6033456514784988,0.3966543485215012
4,34,False,0.32759281330700385,57,54,0.33422148415385594,0.3321456124834581,0.3336329033626859,0.0020758716703978553,1.0984996017588486,0.7192982456140351,0.2631578947368421,0.017543859649122806,0.5387666013887799,0.4612333986112201,0.5382144908642126,0.4617855091357875,0.5386295543532664,0.46137044564673346
5,41,False,0.23486708741635878,74,70,0.3339701273426181,0.33247772484392063,0.333552147813461,0.001492402498697476,1.0985233302996313,0.6891891891891891,0.3108108108108108,0.0,0.48980299109018566,0.5101970089098143,0.49185046160434437,0.5081495383956557,0.49040171859327736,0.5095982814067227
6,48,False,0.09494608777000037,71,64,0.33538105601578844,0.33061319661308003,0.33400574737113126,0.004767859402708408,1.09845990768956,0.7464788732394366,0.2535211267605634,0.0,0.5096898846076523,0.49031011539234776,0.5105422845538387,0.48945771544616135,0.509938479202674,0.49006152079732596
7,55,False,0.2667914936673298,61,57,0.3356753986841027,0.3301992230006836,0.3341253783152138,0.005476175683419071,1.0984263934168943,0.6557377049180327,0.3442622950819672,0.0,0.5631000883179734,0.43689991168202646,0.5655609671363115,0.43443903286368846,0.5638084779179414,0.43619152208205847
8,62,False,0.040363624611467884,73,69,0.33415180277540263,0.33223645358803844,0.33361174363655893,0.0019153491873641904,1.098507605365071,0.547945205479452,0.4246575342465753,0.0273972602739726,0.5554526219019742,0.44454737809802575,0.556841394456735,0.44315860554326497,0.5558544193047722,0.4441455806952279
9,69,False,0.1093800602682102,65,60,0.334069085432438,0.33235378324750264,0.333577131320059,0.0017153021849353745,1.0985078661672263,0.5384615384615384,0.46153846153846156,0.0,0.5327983594283782,0.4672016405716218,0.5353953719823404,0.4646046280176596,0.533543567009956,0.4664564329900441
10,76,False,0.10258720532567182,72,64,0.3347872142680463,0.3314066028973414,0.33380618283461233,0.003380611370704889,1.0984791620782262,0.5972222222222222,0.3888888888888889,0.013888888888888888,0.5537747109652673,0.44622528903473274,0.5559019417494934,0.44409805825050674,0.5543771502199005,0.44562284978009953
11,83,False,0.1672599238014628,77,71,0.33440041997236447,0.33188954316197067,0.33371003686566464,0.002510876810393803,1.0985006347347162,0.5714285714285714,0.42857142857142855,0.0,0.5195529028298994,0.4804470971701006,0.5223552818162709,0.47764471818372917,0.5203468392242608,0.47965316077573916
12,90,False,0.18316190168199145,55,51,0.3343892957162692,0.3319285952822118,0.333682109001519,0.0024607004340573835,1.0984546796693895,0.6363636363636364,0.36363636363636365,0.0,0.482044581102132,0.517955418897868,0.4851712092960846,0.5148287907039155,0.482931513853173,0.5170684861468271
13,97,False,0.17180703191373214,58,53,0.33510418687450383,0.33098795209910264,0.3339078610263937,0.004116234775401184,1.0984176880789924,0.6206896551724138,0.3793103448275862,0.0,0.5176598187100538,0.4823401812899461,0.5194730486413164,0.4805269513586837,0.518167368709228,0.48183263129077203
14,104,False,0.11347662459574766,65,61,0.335169538768194,0.3308924031131967,0.3339380581186093,0.004277135654997322,1.0984346002038656,0.6461538461538462,0.35384615384615387,0.0,0.49427266345814846,0.5057273365418515,0.49662722312430635,0.5033727768756937,0.49493938463468573,0.5050606153653142
15,111,False,0.044873955149567366,59,56,0.33508844593606335,0.3309942841193236,0.33391726994461285,0.004094161816739772,1.0984303070558865,0.6101694915254238,0.3898305084745763,0.0,0.5024832550805874,0.4975167449194126,0.5069498434035437,0.49305015659645635,0.5037552588543095,0.4962447411456905
16,118,False,0.016339825427278413,69,61,0.33434879142611723,0.3319897905202686,0.3336614180536144,0.0023590009058486183,1.0984395766935038,0.5362318840579711,0.463768115942029,0.0,0.4990001479712217,0.5009998520287783,0.503821802748111,0.49617819725188916,0.5003708682863008,0.49962913171369916
17,125,False,0.022246676015148726,64,58,0.3347816599636633,0.33140019377417973,0.33381814626215695,0.003381466189483595,1.0984659595613624,0.5625,0.4375,0.0,0.49466561902241013,0.5053343809775898,0.4990128817539317,0.5009871182460683,0.49590464260768086,0.5040953573923191
18,132,False,0.07173085287433782,75,67,0.3350633174278724,0.33102149598782665,0.33391518658430097,0.004041821440045723,1.0984413874198802,0.6266666666666667,0.37333333333333335,0.0,0.47990301983566963,0.5200969801643304,0.48455539911991447,0.5154446008800856,0.4812247759399656,0.5187752240600345
19,139,False,0.09101737244136342,59,52,0.3352606370349221,0.330759182936634,0.3339801800284439,0.004501454098288116,1.0984262072345805,0.6271186440677966,0.3728813559322034,0.0,0.46154172234761565,0.5384582776523844,0.4658286156769063,0.5341713843230936,0.46275206307068883,0.5372479369293112
20,146,False,0.13652266855989553,74,69,0.33442765652183004,0.3318789235524334,0.3336934199257366,0.0025487329693966165,1.0984700819043105,0.5,0.5,0.0,0.48925632208504855,0.5107436779149515,0.4937448612005864,0.5062551387994135,0.49052814638320735,0.5094718536167927
21,153,False,0.10373285542452704,77,70,0.33449039573224515,0.3317978070593754,0.33371179720837946,0.0026925886728697557,1.0984358315295768,0.5584415584415584,0.44155844155844154,0.0,0.5099823081306614,0.4900176918693387,0.5155010557564005,0.48449894424359946,0.5115442537214634,0.48845574627853655
22,160,False,0.1467662746121366,72,66,0.33571120143270444,0.3301633264820381,0.3341254720852574,0.005547874950666332,1.0983560519584556,0.5833333333333334,0.4166666666666667,0.0,0.47957355929492396,0.520426440705076,0.4861757544766152,0.5138242455233848,0.4814449273297636,0.5185550726702365
23,167,False,0.06743758174227393,73,68,0.3346456375604104,0.3315914164954751,0.33376294594411493,0.003054221064935303,1.0984604941165195,0.5342465753424658,0.4657534246575342,0.0,0.49361081173758764,0.5063891882624123,0.4995527598611238,0.5004472401388762,0.4952960397674314,0.5047039602325686
24,174,False,0.054117924551232724,77,71,0.3340339101886926,0.3323949442750462,0.3335711455362612,0.0016389659136464285,1.098505760329427,0.4675324675324675,0.5324675324675324,0.0,0.48258350294841423,0.5174164970515858,0.48849098676244335,0.5115090132375566,0.48425861729570846,0.5157413827042916
25,181,False,0.0424042519294502,51,49,0.33440970689395644,0.33188932083667605,0.3337009722693675,0.0025203860572803882,1.0984554665332855,0.5098039215686274,0.49019607843137253,0.0,0.4913161224364624,0.5086838775635376,0.49703131582990184,0.5029686841700981,0.49293876464437847,0.5070612353556215
26,188,False,0.033009052754561376,85,79,0.33386491877293206,0.3326337155351285,0.33350136569193956,0.0012312032378035687,1.0984497573110417,0.4823529411764706,0.5176470588235295,0.0,0.4977603795544944,0.5022396204455055,0.50414751205137,0.49585248794863,0.49957290778396535,0.5004270922160347
27,195,False,0.042498276414945774,73,70,0.3338308876094813,0.33268101093051333,0.3334881014600053,0.001149876678967987,1.0984560029068358,0.4794520547945205,0.5205479452054794,0.0,0.5061972261051423,0.49380277389485777,0.5131252762386241,0.48687472376137575,0.5081701013190413,0.4918298986809587
28,202,False,0.016187074656259383,72,69,0.3344580619993433,0.33185450532711736,0.33368743267353934,0.0026035566722259484,1.0983679527058505,0.4722222222222222,0.5277777777777778,0.0,0.5092777512838537,0.49072224871614634,0.5167077145213596,0.48329228547864045,0.5113940039792516,0.4886059960207485
29,209,False,0.029893492131263497,65,65,0.3354204496810288,0.3305545211286762,0.3340250291902949,0.004865928552352572,1.0983660356175797,0.5230769230769231,0.47692307692307695,0.0,0.5033519968347155,0.4966480031652845,0.5103843934380506,0.4896156065619494,0.5053516187915192,0.4946483812084808
30,216,False,0.0012292015628680968,65,60,0.3378172667836123,0.32738074054667493,0.33480199266971283,0.01043652623693736,1.0981413569769727,0.6923076923076923,0.3076923076923077,0.0,0.5034772705630333,0.4965227294369667,0.5107554177821763,0.4892445822178237,0.5055397184893455,0.4944602815106544
31,223,False,0.02278216539978701,71,65,0.33531030021362823,0.3307106510734582,0.33397904871291356,0.004599649140170026,1.0983135201774112,0.5633802816901409,0.43661971830985913,0.0,0.5078105384619092,0.4921894615380909,0.5158000522781763,0.48419994772182373,0.5100785632793827,0.4899214367206174
32,230,False,0.026456294828328005,77,71,0.33459025958568206,0.3316869199899005,0.3337228204244175,0.00290333959578154,1.0983732545104452,0.5714285714285714,0.42857142857142855,0.0,0.5129936730423118,0.48700632695768825,0.5214687838090849,0.47853121619091504,0.515402214554386,0.48459778544561394
33,237,False,0.02082271797669255,68,63,0.33458040427443847,0.3316995884521315,0.33372000727342976,0.0028808158223069813,1.0983617999483803,0.5735294117647058,0.4264705882352941,0.0,0.5167044528419432,0.4832955471580567,0.5263575749134088,0.4736424250865912,0.519446162080037,0.480553837919963
34,244,False,0.053823223918526696,76,68,0.3343213022414831,0.33206827245293863,0.3336104253055781,0.0022530297885444694,1.0983069487930177,0.6052631578947368,0.39473684210526316,0.0,0.5053733036831244,0.4946266963168757,0.5158784281901324,0.48412157180986753,0.5083478732462178,0.4916521267537822
35,251,False,0.031270122497271416,56,54,0.3334846469336851,0.3332037661677224,0.33331158689859247,0.00028088076596272105,1.0981907253005732,0.5178571428571429,0.48214285714285715,0.0,0.5113322462883294,0.48866775371167054,0.5227914595457346,0.4772085404542655,0.5145705255629963,0.48542947443700357
36,258,False,0.025112482082265304,67,62,0.3354782059208217,0.3305257868372431,0.33399600724193523,0.00495241908357863,1.098162674572915,0.5671641791044776,0.417910447761194,0.014925373134328358,0.5163171745840125,0.48368282541598756,0.5280780123803409,0.47192198761965903,0.5196486465746981,0.48035135342530183
37,265,False,0.03189878565610857,88,82,0.33486082624043095,0.3313568861330736,0.33378228762649537,0.0035039401073573284,1.0981884363685024,0.5227272727272727,0.4772727272727273,0.0,0.5225133180885901,0.47748668191140997,0.5349533578109016,0.4650466421890984,0.5260408541523757,0.4739591458476243
38,272,False,0.07471840429539173,65,62,0.33646073985751696,0.3292426102778404,0.3342966498646425,0.0072181295796765466,1.0980536537896293,0.5692307692307692,0.4307692307692308,0.0,0.506777251322558,0.493222748677442,0.5204250069032871,0.479574993096713,0.5106563093482689,0.48934369065173106
39,279,False,0.05675791321514527,65,59,0.3336773558361875,0.33293751045325787,0.3333851337105545,0.0007398453829296492,1.0981819834551838,0.47692307692307695,0.5230769230769231,0.0,0.5185551371614598,0.48144486283854016,0.5317097371479625,0.46829026285203745,0.5222930967646364,0.4777069032353635
40,286,False,0.015741946709665562,60,58,0.3358121102091273,0.33012660662500076,0.3340612831658717,0.005685503584126561,1.098025268031156,0.5333333333333333,0.4666666666666667,0.0,0.5146900351429292,0.4853099648570708,0.5295715868246607,0.4704284131753394,0.5189228059646455,0.4810771940353546
41,293,False,0.036974405312073994,65,62,0.33676233252275367,0.3288445325529154,0.3343931349243307,0.007917799969838268,1.0980205716836013,0.6153846153846154,0.38461538461538464,0.0,0.5069085322107268,0.49309146778927315,0.5223736773008765,0.47762632269912353,0.5113020069230145,0.48869799307698547
42,300,False,0.01957466929088558,77,72,0.33630427697154885,0.3295244884710358,0.33417123455741543,0.006779788500513029,1.0978530027515003,0.5714285714285714,0.42857142857142855,0.0,0.5104391493805809,0.4895608506194191,0.5269193940017302,0.4730806059982699,0.5151279529610429,0.4848720470389572
43,307,False,0.0075745173498135,91,85,0.33496433117318936,0.33126917491740643,0.3337664939094044,0.0036951562557829276,1.09797962725045,0.4945054945054945,0.5054945054945055,0.0,0.5084549932176655,0.49154500678233454,0.526171704061564,0.47382829593843606,0.5134953529409896,0.48650464705901053
44,314,False,0.013524391434379654,75,66,0.33533513027140033,0.3308301874230182,0.33383468230558166,0.004504942848382154,1.0977027471296528,0.5733333333333334,0.4266666666666667,0.0,0.505182313389747,0.49481768661025294,0.5242425008071518,0.4757574991928482,0.5105973330348151,0.4894026669651849
45,321,False,0.001382488002841617,64,60,0.33377700187639503,0.33285185724718985,0.33337114087641534,0.0009251446292051768,1.0978823248863119,0.515625,0.484375,0.0,0.5053651685879662,0.49463483141203385,0.5246311131723724,0.4753688868276275,0.5108290067580121,0.4891709932419879
46,328,False,0.00397444399748054,59,53,0.33408063804879345,0.3325470516502237,0.33337231030098285,0.001533586398569764,1.0976186995762682,0.4915254237288136,0.5084745762711864,0.0,0.5042070802970086,0.49579291970299144,0.5248046304108119,0.475195369589188,0.5100529086217773,0.48994709137822273
47,335,False,0.03812009392537753,67,62,0.33363751413361403,0.33317020418431625,0.33319228168206977,0.00046730994929777836,1.0974313682718047,0.5074626865671642,0.4925373134328358,0.0,0.5115644402649803,0.4884355597350198,0.5330990475515306,0.46690095244846935,0.5176770179342282,0.4823229820657719
48,342,False,0.0625077337126078,66,63,0.331753749924719,0.33562316331527886,0.33262308676000196,0.0038694133905598505,1.0977241716366395,0.3787878787878788,0.6060606060606061,0.015151515151515152,0.5242334012153713,0.4757665987846288,0.5458708226114326,0.45412917738856734,0.5303857990838083,0.46961420091619166
49,349,False,0.007925074360102308,73,70,0.3341290713482637,0.3325097977943429,0.3333611308573934,0.0016192735539207748,1.0973782636037448,0.5342465753424658,0.4657534246575342,0.0,0.5253993710093895,0.4746006289906106,0.5479586773296288,0.4520413226703712,0.53181124419303,0.46818875580696995
50,356,False,0.01897800736490936,74,64,0.33844727299005933,0.3269239940633938,0.33462873294654694,0.011523278926665548,1.0966550121156988,0.5405405405405406,0.4594594594594595,0.0,0.5205880138665252,0.47941198613347485,0.5457276409827573,0.4542723590172427,0.5277383701941573,0.47226162980584274
51,363,False,0.00708280763100866,59,54,0.3316981186077511,0.33589358405865744,0.3324082973335916,0.004195465450906322,1.0967248504301557,0.4576271186440678,0.5254237288135594,0.01694915254237288,0.5208375092103817,0.4791624907896182,0.5480486533573888,0.4519513466426111,0.5285872412626063,0.47141275873739374
52,370,False,0.00927334969750028,64,59,0.33537758877736795,0.3309191138729047,0.3337032973497274,0.004458474904463272,1.0970254160146,0.5,0.5,0.0,0.5183222237138134,0.48167777628618663,0.5473703671295996,0.45262963287040037,0.5266096859422117,0.4733903140577882
53,377,False,0.010776260479978166,60,55,0.333585204747528,0.33359400525940547,0.33282078999306625,8.800511877460337e-06,1.0959756753677514,0.48333333333333334,0.5166666666666667,0.0,0.5192193076365104,0.4807806923634895,0.5506774459435566,0.44932255405644345,0.5282044830134244,0.47179551698657574
54,384,False,0.020993334347495875,66,62,0.33342850545913527,0.33345795566106784,0.33311353887979683,2.94502019325682e-05,1.0971925547352832,0.5303030303030303,0.4696969696969697,0.0,0.523475142031917,0.4765248579680829,0.5549421762270023,0.44505782377299774,0.5324677941709975,0.4675322058290025
55,391,False,0.014070235552945605,59,54,0.33594076380269966,0.33031621674289396,0.3337430194544063,0.005624547059805696,1.0962900119077466,0.4745762711864407,0.4915254237288136,0.03389830508474576,0.519971741358693,0.48002825864130705,0.5531601127775432,0.4468398872224568,0.5294504310524278,0.47054956894757227
56,398,False,0.020694363062434176,64,56,0.33093344914831185,0.33711069719066283,0.3319558536610254,0.00617724804235098,1.0959369792035811,0.5,0.484375,0.015625,0.5242911521110053,0.47570884788899476,0.5572132620848373,0.4427867379151626,0.5336720669873795,0.4663279330126206
57,405,False,0.03817506277762447,70,67,0.3389670941913259,0.3264309602716595,0.3346019455370145,0.012536133919666403,1.0956575753684372,0.5,0.5,0.0,0.5153120824806301,0.4846879175193699,0.5513114807034788,0.4486885192965211,0.5256001933399099,0.47439980666009013
58,412,False,0.01811076005933998,58,55,0.33351214583516414,0.33389686079689584,0.33259099336793996,0.0003847149617317025,1.0951390440898856,0.43103448275862066,0.5689655172413793,0.0,0.5178939034614527,0.48210609653854725,0.5561253090877687,0.4438746909122313,0.52884655562451,0.47115344437549
59,419,False,0.04328156395761507,57,54,0.33792849221708937,0.32789546890251947,0.33417603888039127,0.0100330233145699,1.095287504123785,0.543859649122807,0.45614035087719296,0.0,0.508192191653689,0.49180780834631105,0.5486497884620267,0.4513502115379733,0.519770442136302,0.4802295578636981
60,426,False,0.022174414177794647,68,64,0.3341585212050831,0.333082024005013,0.33275945478990365,0.0010764972000700812,1.094761844823015,0.45588235294117646,0.5441176470588235,0.0,0.5112768306656462,0.4887231693343538,0.5546224264970602,0.44537757350293977,0.5236992553573554,0.47630074464264466
61,433,False,0.03358419726714365,71,67,0.3314074755969688,0.337050028622015,0.33154249578101624,0.005642553025046182,1.0935124959164741,0.43661971830985913,0.5492957746478874,0.014084507042253521,0.516869207076579,0.4831307929234211,0.5628359620985911,0.4371640379014089,0.530028767298665,0.46997123270133495
62,440,False,0.005233653882634135,61,58,0.33689024570483017,0.329332191261526,0.33377756303364364,0.007558054443304152,1.0950287088668214,0.5573770491803278,0.4426229508196721,0.0,0.5155679662165173,0.4844320337834827,0.5621314530429595,0.43786854695704036,0.528930380231999,0.47106961976800094
63,447,False,0.019806488790887773,67,64,0.33097417265351087,0.33722772094009756,0.33179810640639146,0.0062535482865866965,1.0948360304786589,0.34328358208955223,0.6268656716417911,0.029850746268656716,0.5192302955861011,0.4807697044138988,0.5665542112607854,0.4334457887392146,0.5328354076465845,0.4671645923534154
64,454,False,0.015591280130212406,55,52,0.33380059516305527,0.33439613764088955,0.3318032671960552,0.0005955424778342766,1.0914435851416098,0.5818181818181818,0.41818181818181815,0.0,0.5147660764412948,0.48523392355870526,0.5664195867215238,0.4335804132784762,0.5296244015636052,0.4703755984363948
65,461,False,0.007533879119203873,69,64,0.3355225823815696,0.3318919644364723,0.33258545318195804,0.0036306179450973364,1.091956577719512,0.4927536231884058,0.5072463768115942,0.0,0.5149094893897102,0.4850905106102899,0.5688928649381317,0.43110713506186826,0.5304738901062636,0.4695261098937365
66,468,False,0.015815783229477166,50,48,0.3353977512143719,0.33196332775532406,0.3326389210303041,0.0034344234590478195,1.0922515931873493,0.44,0.54,0.02,0.5111063287492442,0.4888936712507558,0.5666180188200673,0.43338198117993265,0.5271067557841247,0.4728932442158753
