round,belief_entropy_mean,matched_cross_entropy,belief_argmax_accuracy,batch_log_likelihood,alpha_logged,prototype_step_m,prototype_update_norm,belief_change_norm
0,0.693145513976608,1.3663943594532684,0.5333333333333333,-0.6931971797266342,1.0,0,0.0,0.009999666679979535
1,0.693143847393271,1.3663943594532684,0.5666666666666667,-0.6931971797266342,0.6597539553864471,0,0.0,0.009999666679979535
2,0.693142180809934,1.3663943594532684,0.6,-0.6931971797266342,0.5172818579717866,0,0.0,0.009999666679979535
3,0.6931405142265968,1.3663943594532684,0.6333333333333333,-0.6931971797266342,0.43527528164806206,0,0.0,0.009999666679979535
4,0.6931388476432598,8.930250409013125,0.3333333333333333,-0.6931971797266342,0.3807307877431757,1,9.000449958753762,0.009999666679979535
5,0.693057407661247,8.930250409013125,0.36666666666666664,-9.00012370456656,0.34127875184653655,1,0.0,0.06987430243032344
6,0.693057410541148,8.930250409013125,0.36666666666666664,-0.00012379100670322797,0.3111294892118257,1,0.0,8.643438798194847e-06
7,0.6929759705591352,8.930250409013125,0.4,-9.00012370456656,0.2871745887492588,1,0.0,0.06987430243032344
8,0.6928945305771224,8.930250409013125,0.43333333333333335,-9.00012370456656,0.2675805205867436,1,0.0,0.06987430243032344
9,0.6928945334545332,3.222736622155817,0.43333333333333335,-0.00012379093198672912,0.251188643150958,2,5.786383189751189,8.643440291111748e-06
10,0.6928194290801374,3.222736622155817,0.4666666666666667,-3.2531311452126705,0.23722714866171576,2,0.0,0.06710348012895423
11,0.6928193071856443,3.222736622155817,0.4666666666666667,-0.03951433429252965,0.22516000642010225,2,0.0,0.002704378057233059
12,0.6927442028112485,3.222736622155817,0.5,-3.2531311452126705,0.21460211045300662,2,0.0,0.06710348012895423
13,0.6925209092031681,3.222736622155817,0.5,-3.2486214912143265,0.20526891114486695,2,0.0,0.0665018716555269
14,0.6924458048287723,2.030362066551893,0.5333333333333333,-3.2531311452126705,0.19694512927085184,3,5.09819058810793,0.06710348012895423
15,0.6922450830042356,2.030362066551893,0.5666666666666667,-2.027886376166501,0.18946457081379978,3,0.0,0.12008466957992897
16,0.6921986109859001,2.030362066551893,0.5666666666666667,-0.14134202051959677,0.1826966765645725,3,0.0,0.01825289485345405
17,0.6919582220253913,2.030362066551893,0.5666666666666667,-2.0266810867361675,0.17653730684146873,3,0.0,0.11995262413158575
18,0.6919100771139836,2.030362066551893,0.5666666666666667,-0.14129114792524733,0.17090227321766677,3,0.0,0.018245008869179846
19,0.6917093552894471,1.4000267605480985,0.6,-2.027886376166501,0.16572270086699936,4,2.4193374563311494,0.12008466957992897
20,0.6915855673362228,1.4000267605480985,0.6,-0.9925805510496215,0.16094164024930613,4,0.0,0.035828207169673054
21,0.6915637186575713,1.4000267605480985,0.6333333333333333,-0.9956720319299222,0.15651154965461567,4,0.0,0.03620268325944109
22,0.69154186997892,1.4000267605480985,0.6666666666666666,-0.9956720319299222,0.15239239637031693,4,0.0,0.03620268325944109
23,0.6915200213002687,1.4000267605480985,0.7,-0.9956720319299222,0.1485502048305003,4,0.0,0.03620268325944109
24,0.6914355040986117,1.6943325095260415,0.7,-0.45947443278501754,0.1449559327355391,5,1.8199343846444733,0.020929846267842667
25,0.6913899281304315,1.6943325095260415,0.7333333333333333,-1.5311511915202367,0.1415845912056503,5,0.0,0.06322760786277759
26,0.6913443521622514,1.6943325095260415,0.7666666666666667,-1.5311511915202367,0.1384145488461686,5,0.0,0.06322760786277759
27,0.691277749823137,1.6943325095260415,0.7666666666666667,-1.530518429656953,0.13542697604569512,5,0.0,0.06319397213359673
28,0.6912726461089107,1.6943325095260415,0.8,-0.24459293960280115,0.1326053973592681,5,0.0,0.017498777800740994
29,0.6909790333589737,1.4636619033705556,0.8,-1.5235524383110561,0.12993532803053964,6,2.0918364203637276,0.06199684883426437
30,0.6908265195999183,1.4636619033705556,0.8,-0.3656228955323554,0.12740397661775155,6,0.0,0.02453424568866558
31,0.6906420231860732,1.4636619033705556,0.8,-1.1719325702671037,0.125,6,0.0,0.056275232240197426
32,0.690639723517963,1.4636619033705556,0.8333333333333334,-0.3702471209243546,0.12271330022108154,6,0.0,0.025397315307145563
33,0.6905529803288363,1.4636619033705556,0.8333333333333334,-1.174909428070071,0.12053485499943511,6,0.0,0.056701969004124775
34,0.690499226782708,1.2948647764088554,0.8666666666666667,-1.175904002799526,0.1184565755177503,7,0.9098380143095223,0.056775687827953114
35,0.6904644220987503,1.2948647764088554,0.9,-0.6437445022085779,0.11647118646192989,7,0.0,0.04568975942818798
36,0.6902970984243647,1.2948647764088554,0.9,-0.6397155469578842,0.11457212431821104,7,0.0,0.045153184351761966
37,0.6901485090625724,1.2948647764088554,0.9,-0.7443560382471108,0.11275345073989092,7,0.0,0.05031238700634255
38,0.6901056899762217,1.2948647764088554,0.9,-0.7475611939971518,0.11100977841979782,7,0.0,0.0506758809295802
39,0.6900628708898708,1.3311005259794655,0.9,-0.7475611939971518,0.10933620739432781,8,0.3498976329436161,0.0506758809295802
40,0.6900464822952966,1.3311005259794655,0.9,-0.5786779930573903,0.10772827009130774,8,0.0,0.03135529480425753
41,0.689845080930866,1.3311005259794655,0.9,-0.8185103112885501,0.10618188374086235,8,0.0,0.03913080203942798
42,0.6897294628590013,1.3311005259794655,0.9,-0.8211754840388933,0.10469330901369864,8,0.0,0.03976796150858375
43,0.6897027153660612,1.3311005259794655,0.9333333333333333,-0.8238647672461279,0.10325911394829501,8,0.0,0.04005521530873374
44,0.6896702402259126,1.3070159498964482,0.9333333333333333,-0.5781944947174474,0.10187614238771993,9,0.39959597731268975,0.0313326998093203
45,0.6896294131294441,1.3070159498964482,0.9333333333333333,-0.7739794274823514,0.10054148627613585,9,0.0,0.046852994763246
46,0.6892982446763682,1.3070159498964482,0.9333333333333333,-0.7648862054035666,0.09925246127060626,9,0.0,0.044636544912652676
47,0.6891957971123823,1.3070159498964482,0.9333333333333333,-0.6177212878004356,0.09800658521038948,9,0.0,0.03995806100089039
48,0.6890760997275156,1.3070159498964482,0.9333333333333333,-0.617194718658153,0.09680155905721158,9,0.0,0.039870623049905574
49,0.6888393529237714,1.2525446343103495,0.9333333333333333,-0.7679624852745328,0.0956352499790037,10,0.31694212307074987,0.0457739225480468
