prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,6,False,1.4130742794118167,80,72,0.49972819791845097,0.500271802081549,0.0005436041630980104,0.6931304133466218,0.9375,0.0625,0.22683773448166142,0.7731622655183386,0.18661579376335932,0.8133842062366408
1,13,False,3.2633018283195545,58,53,0.4998849195663221,0.5001150804336779,0.00023016086735583308,0.69301306203577,0.8275862068965517,0.1724137931034483,0.8564758826897414,0.14352411731025858,0.8832878014017224,0.11671219859827764
2,20,False,3.218184930319185,65,62,0.5007743683954314,0.49922563160456856,0.0015487367908628702,0.6928641989712989,0.8,0.2,0.21153815755142438,0.7884618424485755,0.21309367034801255,0.7869063296519875
3,27,False,1.9680908719015846,63,59,0.5115719961693087,0.4884280038306913,0.023143992338617414,0.6916969080359936,0.8412698412698413,0.15873015873015872,0.6589673959873271,0.341032604012673,0.6582284761411042,0.34177152385889564
4,34,False,0.9436305246839847,63,56,0.5052968664740433,0.49470313352595674,0.01059373294808652,0.6924987528074165,0.8412698412698413,0.15873015873015872,0.4195633754502001,0.5804366245497998,0.4385989049350931,0.561401095064907
5,41,False,0.5860549346863282,80,75,0.5063489938187122,0.49365100618128777,0.012697987637424468,0.6920029222885867,0.6625,0.3375,0.5697166076663163,0.4302833923336838,0.579165206822719,0.42083479317728106
6,48,False,0.18348179040079876,76,72,0.5085382783951603,0.4914617216048397,0.017076556790320607,0.6921819094659932,0.7894736842105263,0.21052631578947367,0.5232415965362773,0.4767584034637227,0.5349784938881265,0.4650215061118736
7,55,False,0.014525545807994544,75,70,0.5056366545254564,0.4943633454745436,0.011273309050912783,0.6921740715498035,0.6133333333333333,0.38666666666666666,0.5267895295960046,0.4732104704039954,0.5386628097064351,0.46133719029356485
8,62,False,0.14556492234003487,66,56,0.5071455758080656,0.49285442419193454,0.014291151616131093,0.6920367888499142,0.6060606060606061,0.3939393939393939,0.48969444202629164,0.5103055579737084,0.5030948591950705,0.49690514080492953
9,69,False,0.03101620734315651,67,60,0.5082650418342278,0.4917349581657723,0.016530083668455542,0.692004675032418,0.6865671641791045,0.31343283582089554,0.4978949716026595,0.5021050283973404,0.5103720241683063,0.48962797583169365
10,76,False,0.06761296984154319,67,61,0.5087059746718233,0.4912940253281766,0.017411949343646704,0.6919069985626821,0.6119402985074627,0.3880597014925373,0.4791275595013734,0.5208724404986265,0.4955828120823329,0.5044171879176671
