round,i,j,r_i,r_j
0,46,23,1.0,1.0
0,19,44,0.0,5.0
0,23,27,3.0,3.0
0,15,17,3.0,3.0
0,44,26,5.0,0.0
0,30,28,0.0,5.0
0,0,46,0.0,5.0
0,11,2,3.0,3.0
0,27,23,1.0,1.0
0,48,26,5.0,0.0
0,30,2,3.0,3.0
0,47,26,5.0,0.0
1,43,30,1.0,1.0
1,39,48,5.0,0.0
1,24,46,1.0,1.0
1,16,35,3.0,3.0
1,32,23,5.0,0.0
1,14,0,3.0,3.0
1,20,42,0.0,5.0
1,9,26,3.0,3.0
1,37,5,3.0,3.0
1,41,34,1.0,1.0
1,12,30,3.0,3.0
1,39,3,5.0,0.0
2,32,11,1.0,1.0
2,14,20,5.0,0.0
2,40,19,5.0,0.0
2,27,25,1.0,1.0
2,37,23,5.0,0.0
2,49,29,3.0,3.0
2,37,36,1.0,1.0
3,8,33,3.0,3.0
3,4,9,3.0,3.0
3,27,32,0.0,5.0
3,11,14,5.0,0.0
3,0,35,0.0,5.0
4,8,41,0.0,5.0
4,13,37,0.0,5.0
4,33,25,0.0,5.0
4,37,12,3.0,3.0
4,33,44,3.0,3.0
4,27,40,0.0,5.0
5,32,20,5.0,0.0
5,35,29,0.0,5.0
5,38,27,5.0,0.0
5,49,46,1.0,1.0
5,26,45,0.0,5.0
5,32,12,5.0,0.0
5,35,28,5.0,0.0
6,35,4,3.0,3.0
6,26,1,5.0,0.0
6,20,47,0.0,5.0
6,42,1,5.0,0.0
6,23,24,3.0,3.0
6,32,3,3.0,3.0
6,33,36,0.0,5.0
7,0,37,0.0,5.0
7,49,8,5.0,0.0
7,29,6,5.0,0.0
7,26,28,1.0,1.0
7,3,36,3.0,3.0
7,3,4,3.0,3.0
7,37,20,1.0,1.0
7,20,11,3.0,3.0
7,17,1,3.0,3.0
7,39,47,3.0,3.0
8,20,6,3.0,3.0
8,24,48,1.0,1.0
8,19,36,0.0,5.0
8,42,2,5.0,0.0
8,44,9,5.0,0.0
8,3,7,3.0,3.0
8,6,34,3.0,3.0
8,15,42,0.0,5.0
9,44,27,1.0,1.0
9,46,48,1.0,1.0
9,1,3,3.0,3.0
9,45,25,5.0,0.0
9,7,24,0.0,5.0
9,47,6,5.0,0.0
9,28,14,3.0,3.0
9,6,24,3.0,3.0
9,36,24,3.0,3.0
9,35,5,5.0,0.0
9,9,35,0.0,5.0
9,5,11,3.0,3.0
9,37,8,3.0,3.0
10,34,38,0.0,5.0
10,42,1,5.0,0.0
10,5,24,3.0,3.0
10,21,49,1.0,1.0
10,17,35,0.0,5.0
10,9,10,3.0,3.0
10,0,39,3.0,3.0
10,17,32,3.0,3.0
10,24,26,3.0,3.0
10,9,15,3.0,3.0
11,19,10,5.0,0.0
11,44,46,1.0,1.0
11,31,30,0.0,5.0
11,4,1,3.0,3.0
11,13,46,1.0,1.0
11,27,35,5.0,0.0
11,27,44,0.0,5.0
11,33,36,0.0,5.0
11,26,34,5.0,0.0
11,35,17,5.0,0.0
11,23,45,3.0,3.0
11,34,14,5.0,0.0
11,18,19,5.0,0.0
11,15,38,0.0,5.0
11,40,17,5.0,0.0
12,9,43,0.0,5.0
12,41,33,5.0,0.0
12,35,16,5.0,0.0
12,26,4,3.0,3.0
12,23,47,1.0,1.0
12,15,4,3.0,3.0
12,4,47,0.0,5.0
12,48,15,1.0,1.0
12,3,0,3.0,3.0
12,19,30,3.0,3.0
12,6,25,3.0,3.0
12,42,1,5.0,0.0
12,44,46,1.0,1.0
12,3,37,3.0,3.0
13,35,11,3.0,3.0
13,34,18,5.0,0.0
13,46,0,5.0,0.0
13,3,19,3.0,3.0
13,32,10,1.0,1.0
13,43,14,3.0,3.0
13,6,42,0.0,5.0
13,43,4,5.0,0.0
13,45,27,0.0,5.0
13,7,20,0.0,5.0
13,49,35,0.0,5.0
14,23,46,3.0,3.0
14,34,18,3.0,3.0
14,32,45,0.0,5.0
14,0,29,0.0,5.0
14,38,48,0.0,5.0
14,14,11,0.0,5.0
14,1,5,0.0,5.0
14,28,46,1.0,1.0
14,17,36,0.0,5.0
14,38,7,5.0,0.0
14,21,17,3.0,3.0
15,2,17,3.0,3.0
15,7,21,0.0,5.0
15,2,10,3.0,3.0
15,40,19,3.0,3.0
15,2,8,3.0,3.0
15,43,24,3.0,3.0
15,23,3,3.0,3.0
15,11,47,0.0,5.0
15,14,16,0.0,5.0
15,46,17,1.0,1.0
15,18,6,5.0,0.0
15,1,31,3.0,3.0
15,6,35,0.0,5.0
15,14,18,3.0,3.0
15,12,1,5.0,0.0
16,4,1,3.0,3.0
16,25,13,3.0,3.0
16,34,7,3.0,3.0
16,11,39,0.0,5.0
16,10,11,5.0,0.0
16,1,45,0.0,5.0
17,23,22,5.0,0.0
17,40,46,0.0,5.0
17,38,13,5.0,0.0
17,5,45,3.0,3.0
17,4,6,3.0,3.0
17,29,39,0.0,5.0
18,6,15,3.0,3.0
18,40,49,1.0,1.0
18,8,9,3.0,3.0
18,47,1,5.0,0.0
18,42,13,5.0,0.0
18,27,5,5.0,0.0
18,0,45,3.0,3.0
18,12,16,3.0,3.0
18,19,5,3.0,3.0
18,45,40,1.0,1.0
18,42,9,5.0,0.0
18,38,12,3.0,3.0
18,44,38,3.0,3.0
19,34,22,0.0,5.0
19,37,5,3.0,3.0
19,31,24,3.0,3.0
19,14,10,3.0,3.0
19,27,43,0.0,5.0
19,20,41,1.0,1.0
19,17,7,3.0,3.0
19,36,11,3.0,3.0
19,29,28,5.0,0.0
19,0,4,3.0,3.0
19,36,10,5.0,0.0
19,15,4,3.0,3.0
19,11,16,0.0,5.0
19,39,30,5.0,0.0
19,11,37,3.0,3.0
20,6,41,0.0,5.0
20,40,27,5.0,0.0
20,17,42,0.0,5.0
20,40,37,1.0,1.0
20,16,34,0.0,5.0
20,42,25,1.0,1.0
20,49,9,5.0,0.0
20,9,12,3.0,3.0
20,1,9,5.0,0.0
20,34,40,1.0,1.0
21,29,42,0.0,5.0
21,36,18,5.0,0.0
21,3,39,1.0,1.0
21,46,18,5.0,0.0
21,6,33,0.0,5.0
21,46,1,3.0,3.0
21,27,1,3.0,3.0
21,36,47,1.0,1.0
21,23,11,3.0,3.0
22,40,20,5.0,0.0
22,15,1,5.0,0.0
22,30,4,3.0,3.0
22,45,5,5.0,0.0
22,4,46,0.0,5.0
22,5,39,3.0,3.0
22,18,40,0.0,5.0
22,37,28,5.0,0.0
22,1,37,0.0,5.0
23,1,35,0.0,5.0
23,5,42,5.0,0.0
23,37,30,3.0,3.0
23,48,23,3.0,3.0
23,45,40,0.0,5.0
23,16,21,3.0,3.0
24,17,2,3.0,3.0
24,40,19,5.0,0.0
24,2,18,3.0,3.0
24,5,37,3.0,3.0
24,27,0,3.0,3.0
24,44,30,5.0,0.0
24,9,4,3.0,3.0
24,32,46,0.0,5.0
24,41,18,5.0,0.0
24,12,49,0.0,5.0
24,16,13,3.0,3.0
24,25,33,1.0,1.0
24,7,1,3.0,3.0
24,15,1,3.0,3.0
25,37,18,3.0,3.0
25,45,46,1.0,1.0
25,5,27,0.0,5.0
25,1,13,0.0,5.0
25,17,48,3.0,3.0
25,46,13,5.0,0.0
25,25,17,3.0,3.0
25,45,31,5.0,0.0
25,18,0,3.0,3.0
25,6,32,3.0,3.0
25,34,0,3.0,3.0
25,37,10,5.0,0.0
26,16,38,3.0,3.0
26,30,18,0.0,5.0
26,19,24,0.0,5.0
26,27,14,5.0,0.0
26,12,30,0.0,5.0
26,4,43,3.0,3.0
26,15,10,0.0,5.0
26,21,16,3.0,3.0
26,26,25,5.0,0.0
26,37,41,5.0,0.0
26,34,16,5.0,0.0
26,41,9,5.0,0.0
26,9,37,3.0,3.0
26,0,22,0.0,5.0
26,5,18,3.0,3.0
27,39,7,5.0,0.0
27,0,43,0.0,5.0
27,43,19,0.0,5.0
27,7,20,5.0,0.0
27,25,3,5.0,0.0
27,28,41,3.0,3.0
27,18,39,0.0,5.0
27,11,19,3.0,3.0
27,2,44,0.0,5.0
27,47,15,5.0,0.0
27,37,43,0.0,5.0
27,20,32,0.0,5.0
27,38,14,3.0,3.0
28,36,38,5.0,0.0
28,41,1,3.0,3.0
28,8,36,0.0,5.0
28,44,42,1.0,1.0
28,28,43,0.0,5.0
28,2,1,3.0,3.0
28,33,36,5.0,0.0
28,29,47,0.0,5.0
28,11,42,5.0,0.0
28,11,0,5.0,0.0
28,46,34,1.0,1.0
28,15,9,3.0,3.0
28,0,48,0.0,5.0
28,35,11,3.0,3.0
29,22,9,3.0,3.0
29,29,13,5.0,0.0
29,37,16,1.0,1.0
29,45,12,5.0,0.0
29,43,27,1.0,1.0
29,11,33,3.0,3.0
29,48,6,5.0,0.0
29,24,42,0.0,5.0
29,33,45,1.0,1.0
30,2,4,3.0,3.0
30,48,8,5.0,0.0
30,36,35,3.0,3.0
30,49,23,5.0,0.0
30,8,7,3.0,3.0
30,15,4,3.0,3.0
30,23,38,5.0,0.0
30,39,14,5.0,0.0
30,10,11,3.0,3.0
30,25,21,1.0,1.0
30,41,26,5.0,0.0
30,24,3,3.0,3.0
30,47,19,5.0,0.0
30,9,6,3.0,3.0
30,9,15,3.0,3.0
31,43,40,1.0,1.0
31,16,39,3.0,3.0
31,13,11,3.0,3.0
31,20,27,5.0,0.0
31,17,44,0.0,5.0
31,25,8,3.0,3.0
31,0,6,3.0,3.0
31,16,9,3.0,3.0
31,21,25,0.0,5.0
32,4,1,3.0,3.0
32,49,7,3.0,3.0
32,37,9,5.0,0.0
32,43,1,5.0,0.0
32,26,2,3.0,3.0
32,49,5,5.0,0.0
32,41,49,1.0,1.0
32,2,26,0.0,5.0
32,15,32,0.0,5.0
32,19,34,3.0,3.0
33,4,42,0.0,5.0
33,43,45,0.0,5.0
33,19,23,0.0,5.0
33,12,22,3.0,3.0
33,45,38,1.0,1.0
33,46,20,5.0,0.0
33,42,0,5.0,0.0
34,32,9,3.0,3.0
34,23,6,3.0,3.0
34,17,14,3.0,3.0
34,30,38,1.0,1.0
34,6,9,3.0,3.0
34,33,14,5.0,0.0
34,25,49,0.0,5.0
34,4,17,3.0,3.0
34,40,28,5.0,0.0
35,22,48,0.0,5.0
35,45,16,1.0,1.0
35,46,19,5.0,0.0
35,4,5,3.0,3.0
35,38,18,5.0,0.0
35,44,39,5.0,0.0
35,8,18,3.0,3.0
35,15,6,3.0,3.0
36,7,5,3.0,3.0
36,26,3,3.0,3.0
36,33,13,5.0,0.0
36,33,32,0.0,5.0
36,33,4,5.0,0.0
36,16,19,3.0,3.0
36,34,35,3.0,3.0
36,41,23,1.0,1.0
36,29,45,1.0,1.0
36,37,6,3.0,3.0
37,23,37,0.0,5.0
37,43,22,1.0,1.0
37,43,18,1.0,1.0
37,31,13,3.0,3.0
37,37,11,3.0,3.0
37,42,8,3.0,3.0
37,6,10,3.0,3.0
37,0,3,3.0,3.0
37,49,29,5.0,0.0
37,34,19,5.0,0.0
38,12,43,0.0,5.0
38,30,35,0.0,5.0
38,12,47,0.0,5.0
38,37,0,3.0,3.0
38,27,30,3.0,3.0
38,37,41,0.0,5.0
39,29,35,5.0,0.0
39,13,47,0.0,5.0
39,48,25,5.0,0.0
39,8,23,0.0,5.0
39,15,8,3.0,3.0
39,16,19,3.0,3.0
39,47,35,1.0,1.0
39,7,24,3.0,3.0
39,10,44,1.0,1.0
40,20,10,3.0,3.0
40,2,11,0.0,5.0
40,15,14,0.0,5.0
40,18,21,0.0,5.0
40,18,40,0.0,5.0
40,4,0,3.0,3.0
40,11,0,3.0,3.0
41,2,17,3.0,3.0
41,5,10,3.0,3.0
41,0,17,3.0,3.0
41,13,44,3.0,3.0
41,41,7,5.0,0.0
41,34,28,0.0,5.0
41,44,46,1.0,1.0
41,3,31,3.0,3.0
41,37,18,5.0,0.0
41,12,49,0.0,5.0
41,45,30,1.0,1.0
41,15,26,3.0,3.0
41,48,7,3.0,3.0
42,5,1,3.0,3.0
42,5,31,3.0,3.0
42,8,7,3.0,3.0
42,25,1,5.0,0.0
42,1,3,3.0,3.0
42,15,3,1.0,1.0
43,31,26,0.0,5.0
43,37,46,0.0,5.0
43,32,7,5.0,0.0
43,48,39,5.0,0.0
43,49,23,1.0,1.0
43,13,38,3.0,3.0
43,22,36,0.0,5.0
43,10,22,3.0,3.0
43,35,1,3.0,3.0
43,8,37,0.0,5.0
