prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,6,False,1.4135430040288453,80,72,0.49972819791845097,0.500271802081549,0.0005436041630980104,0.6931304133466218,0.9375,0.0625,0.22758007728643245,0.7724199227135675,0.18597490035413852,0.8140250996458614
1,13,False,3.2610432068567015,58,53,0.5012493862846878,0.49875061371531215,0.0024987725693756957,0.6929246060151605,0.8620689655172413,0.13793103448275862,0.8585292741476327,0.14147072585236736,0.8812796515623521,0.11872034843764792
2,20,False,3.469354638399025,65,62,0.5006189173582948,0.49938108264170533,0.0012378347165894477,0.6928006871176248,0.7692307692307693,0.23076923076923078,0.17118122149619833,0.8288187785038016,0.17487346247896376,0.8251265375210363
3,27,False,2.3167105202671774,63,59,0.5076703762620611,0.4923296237379388,0.015340752524122314,0.6920604827532304,0.7936507936507936,0.20634920634920634,0.6805648604250426,0.3194351395749575,0.678780811882483,0.32121918811751693
4,34,False,1.2985045193430118,63,56,0.5035263076041788,0.49647369239582106,0.00705261520835776,0.6926905777590757,0.8095238095238095,0.19047619047619047,0.35800591131086884,0.6419940886891312,0.3758880176130278,0.6241119823869723
5,41,False,0.8036898414741794,80,75,0.5039897514089481,0.4960102485910519,0.007979502817896167,0.692250394282744,0.625,0.375,0.5613790624457503,0.4386209375542497,0.5667502674729348,0.4332497325270652
6,48,False,0.2949247444445022,76,72,0.5070485393186897,0.49295146068131024,0.014097078637379412,0.6923562636562206,0.7763157894736842,0.2236842105263158,0.49095867463430704,0.5090413253656929,0.4905396601889013,0.5094603398110986
7,55,False,0.018036044128774575,75,70,0.5051663419030431,0.4948336580969568,0.010332683806086318,0.6923763521624401,0.6666666666666666,0.3333333333333333,0.4892008159116424,0.5107991840883576,0.4966680055456467,0.5033319944543533
8,62,False,0.11680028346489808,66,56,0.5046091793790888,0.4953908206209112,0.009218358758177558,0.6924433724026838,0.6060606060606061,0.3939393939393939,0.4603824394458755,0.5396175605541246,0.467217882759365,0.5327821172406351
9,69,False,0.03932344743040501,67,60,0.5069326279684057,0.49306737203159423,0.013865255936811427,0.6921633769242069,0.6417910447761194,0.3582089552238806,0.47205964624606017,0.5279403537539398,0.4746536635357696,0.5253463364642303
10,76,False,0.06608565409832899,67,61,0.5058292637422143,0.49417073625778585,0.011658527484428416,0.6923349499263727,0.6119402985074627,0.3880597014925373,0.4529648080005966,0.5470351919994035,0.46140190873799775,0.5385980912620023
11,83,False,0.39217487839173887,62,57,0.5020278227621938,0.49797217723780607,0.004055645524387752,0.692501821900548,0.5483870967741935,0.45161290322580644,0.3581072830521511,0.6418927169478489,0.36722477981031293,0.632775220189687
12,90,False,0.2458439926016829,80,72,0.5061073912981152,0.49389260870188467,0.012214782596230545,0.6921971500390163,0.5875,0.4125,0.4173393114629999,0.5826606885370001,0.42496996964289885,0.5750300303571011
13,97,False,0.21936769390172842,53,48,0.5049229287790433,0.4950770712209567,0.009845857558086646,0.692189863527061,0.5471698113207547,0.4528301886792453,0.47008288701851797,0.529917112981482,0.4805858841525194,0.5194141158474807
14,104,False,0.25383409228930476,67,62,0.505118401733948,0.49488159826605205,0.010236803467895905,0.6923424665878208,0.5522388059701493,0.44776119402985076,0.40855130726962435,0.5914486927303757,0.41698442821656106,0.583015571783439
15,111,False,0.2515383895648299,78,74,0.5079504272918782,0.4920495727081217,0.015900854583756507,0.6919038507229321,0.5897435897435898,0.41025641025641024,0.4722329598269248,0.5277670401730753,0.47724633496900587,0.5227536650309941
16,118,False,0.10972261711939299,65,63,0.5079784186840085,0.4920215813159914,0.01595683736801712,0.6919874129466574,0.5846153846153846,0.4153846153846154,0.49801563355427636,0.5019843664457236,0.5061899259884388,0.49381007401156113
17,125,False,0.23078456726932442,61,58,0.5060720667475959,0.49392793325240425,0.012144133495191611,0.6922318751531168,0.639344262295082,0.36065573770491804,0.43946885540929376,0.5605311445907062,0.4498357595657068,0.5501642404342931
18,132,False,0.0860905467322053,58,55,0.5038026004916357,0.4961973995083643,0.007605200983271443,0.6923281625638693,0.5517241379310345,0.4482758620689655,0.46084330018696235,0.5391566998130376,0.4711511004406022,0.5288488995593977
19,139,False,0.07505754103876315,65,62,0.5041505937968632,0.4958494062031367,0.0083011875937265,0.6919331046137226,0.47692307692307695,0.5230769230769231,0.4423657368004655,0.5576342631995346,0.45239010178656186,0.5476098982134381
