round,belief_accuracy
0,0.2631578947368421
1,0.26842105263157895
2,0.2736842105263158
3,0.28157894736842104
4,0.2868421052631579
5,0.29210526315789476
6,0.19210526315789472
7,0.2
8,0.2
9,0.20526315789473684
10,0.21578947368421053
11,0.2236842105263158
12,0.23421052631578948
13,0.21842105263157896
14,0.23157894736842105
15,0.24210526315789474
16,0.23684210526315788
17,0.24473684210526317
18,0.25526315789473686
19,0.2578947368421053
20,0.22631578947368422
21,0.22894736842105262
22,0.23157894736842105
23,0.23421052631578948
24,0.24210526315789474
25,0.24210526315789474
26,0.24473684210526317
27,0.24210526315789474
28,0.24736842105263157
29,0.25
30,0.25263157894736843
31,0.26052631578947366
32,0.2631578947368421
33,0.26052631578947366
34,0.21578947368421053
35,0.21578947368421053
36,0.2236842105263158
37,0.22631578947368422
38,0.23421052631578948
39,0.2394736842105263
40,0.24736842105263157
41,0.25526315789473686
42,0.26052631578947366
43,0.2657894736842105
44,0.2710526315789474
45,0.2789473684210526
46,0.28421052631578947
47,0.29210526315789476
48,0.29736842105263156
49,0.3026315789473684
50,0.30526315789473685
51,0.30526315789473685
52,0.3078947368421053
53,0.3105263157894737
54,0.3131578947368421
55,0.31842105263157894
56,0.3236842105263158
57,0.3263157894736842
58,0.32894736842105265
59,0.32894736842105265
60,0.3263157894736842
61,0.32894736842105265
62,0.33157894736842103
63,0.33157894736842103
64,0.33157894736842103
65,0.33421052631578946
66,0.3394736842105263
67,0.34210526315789475
68,0.3368421052631579
69,0.34210526315789475
70,0.34210526315789475
71,0.3473684210526316
72,0.3447368421052632
73,0.3473684210526316
74,0.35526315789473684
75,0.3526315789473684
76,0.3526315789473684
77,0.3526315789473684
78,0.35526315789473684
79,0.35526315789473684
80,0.3526315789473684
81,0.3526315789473684
82,0.35
83,0.35
84,0.35
85,0.3526315789473684
86,0.3526315789473684
87,0.3605263157894737
88,0.3605263157894737
89,0.3605263157894737
90,0.3684210526315789
91,0.3684210526315789
92,0.37105263157894736
93,0.3736842105263158
94,0.37105263157894736
95,0.3763157894736842
96,0.38421052631578945
97,0.38421052631578945
98,0.38421052631578945
99,0.38421052631578945
100,0.38421052631578945
101,0.3868421052631579
102,0.3868421052631579
103,0.3868421052631579
104,0.3868421052631579
105,0.3868421052631579
106,0.3868421052631579
107,0.3868421052631579
108,0.3868421052631579
109,0.3868421052631579
110,0.3868421052631579
111,0.3868421052631579
112,0.3894736842105263
113,0.3894736842105263
114,0.39210526315789473
115,0.39210526315789473
116,0.39210526315789473
117,0.39210526315789473
118,0.39210526315789473
119,0.3894736842105263
120,0.39210526315789473
121,0.39210526315789473
122,0.39473684210526316
123,0.3973684210526316
124,0.4
125,0.4
126,0.4026315789473684
127,0.4052631578947368
128,0.4026315789473684
129,0.4026315789473684
130,0.4026315789473684
131,0.4026315789473684
132,0.4026315789473684
133,0.4
134,0.4
135,0.4
136,0.4026315789473684
137,0.4026315789473684
138,0.4026315789473684
139,0.4026315789473684
140,0.40789473684210525
141,0.40789473684210525
142,0.40789473684210525
143,0.4105263157894737
144,0.4105263157894737
145,0.4105263157894737
146,0.4105263157894737
147,0.4105263157894737
148,0.4105263157894737
149,0.4131578947368421
150,0.4131578947368421
151,0.4131578947368421
152,0.4131578947368421
153,0.4131578947368421
154,0.41578947368421054
155,0.41578947368421054
156,0.41578947368421054
157,0.41578947368421054
158,0.41578947368421054
159,0.41578947368421054
160,0.41842105263157897
161,0.42105263157894735
162,0.42105263157894735
163,0.42105263157894735
164,0.4236842105263158
165,0.4263157894736842
166,0.42894736842105263
167,0.4263157894736842
168,0.4263157894736842
169,0.42894736842105263
170,0.42894736842105263
171,0.4263157894736842
172,0.4263157894736842
173,0.4263157894736842
174,0.4263157894736842
175,0.4263157894736842
176,0.4263157894736842
177,0.4263157894736842
178,0.4263157894736842
179,0.4263157894736842
180,0.42894736842105263
181,0.4263157894736842
182,0.4263157894736842
183,0.4263157894736842
184,0.4263157894736842
185,0.4236842105263158
186,0.4236842105263158
187,0.4236842105263158
188,0.4236842105263158
189,0.4236842105263158
190,0.4236842105263158
191,0.4236842105263158
192,0.4263157894736842
193,0.4263157894736842
194,0.42894736842105263
195,0.4342105263157895
196,0.4342105263157895
197,0.4342105263157895
198,0.4342105263157895
199,0.4342105263157895
200,0.4342105263157895
201,0.4342105263157895
202,0.4342105263157895
203,0.4342105263157895
204,0.4342105263157895
205,0.4342105263157895
206,0.4368421052631579
207,0.4394736842105263
208,0.4394736842105263
209,0.4394736842105263
210,0.4394736842105263
211,0.4394736842105263
212,0.4394736842105263
213,0.4394736842105263
214,0.4421052631578947
215,0.4421052631578947
216,0.4421052631578947
217,0.4421052631578947
218,0.4421052631578947
219,0.4421052631578947
220,0.4421052631578947
221,0.4421052631578947
222,0.4421052631578947
223,0.4421052631578947
224,0.44473684210526315
225,0.44473684210526315
226,0.44473684210526315
227,0.4473684210526316
228,0.4473684210526316
229,0.44473684210526315
230,0.44473684210526315
231,0.44473684210526315
232,0.44473684210526315
233,0.4473684210526316
234,0.4473684210526316
235,0.4473684210526316
236,0.45
237,0.45
238,0.45
239,0.45
240,0.45263157894736844
241,0.45263157894736844
242,0.45263157894736844
243,0.45263157894736844
244,0.45263157894736844
245,0.45263157894736844
246,0.45
247,0.45
248,0.45
249,0.45
250,0.45
251,0.45
252,0.45
253,0.45
254,0.45263157894736844
255,0.45789473684210524
256,0.45789473684210524
257,0.45789473684210524
258,0.45789473684210524
259,0.45789473684210524
260,0.45789473684210524
261,0.4605263157894737
262,0.4605263157894737
263,0.4605263157894737
264,0.4605263157894737
265,0.4631578947368421
266,0.4631578947368421
267,0.4631578947368421
268,0.4631578947368421
269,0.4631578947368421
270,0.4631578947368421
271,0.4631578947368421
272,0.4631578947368421
273,0.46578947368421053
274,0.46578947368421053
275,0.46578947368421053
276,0.46578947368421053
277,0.46578947368421053
278,0.46578947368421053
279,0.46578947368421053
280,0.46578947368421053
281,0.46578947368421053
