prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_mean_b_snap_k4,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,batch_frac_argmax_k4,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1,softmax_k4_a0,softmax_k4_a1
0,9,False,1.7521233252812458,87,87,0.19999999999999965,0.19999999999999965,0.19999999999999965,0.19999999999999965,0.19999999999999965,0.0,1.609437912434101,1.0,0.0,0.0,0.0,0.0,0.7618056141002503,0.2381943858997497,0.755407866032325,0.24459213396767499,0.7513361042513736,0.2486638957486264,0.7500207723787552,0.24997922762124486,0.7126723425065763,0.2873276574934237
1,19,False,0.7542844795871267,116,111,0.19985919173846978,0.1999207161784406,0.19995891455020287,0.19997110125009412,0.20029007628279072,6.152443997081702e-05,1.6093869768067564,0.9568965517241379,0.0,0.0,0.0,0.04310344827586207,0.6500848292529415,0.3499151707470585,0.648975862622851,0.35102413737714905,0.6483421495000086,0.3516578504999914,0.648149010700198,0.351850989299802,0.6447567499830975,0.3552432500169025
2,29,False,0.13705751716736958,111,110,0.19968721723315866,0.1998197947693473,0.19990318681974484,0.19992996536693042,0.20065983581081692,0.00013257753618864387,1.6093842587833347,0.954954954954955,0.0,0.0,0.0,0.04504504504504504,0.628843240119718,0.37115675988028196,0.6284553563979992,0.3715446436020008,0.6282282383109652,0.37177176168903486,0.6281580036028321,0.3718419963971679,0.6267094905976717,0.3732905094023283
3,39,False,0.2401144721291614,93,92,0.20027665552871954,0.20016032834897357,0.2000869246793944,0.20006331563964114,0.1994127758032698,0.00011632717974596751,1.609394416038205,0.989247311827957,0.0,0.0,0.0,0.010752688172043012,0.6633819713854624,0.33661802861453766,0.6631185161311887,0.3368814838688112,0.6629584635701483,0.3370415364298517,0.6629079713599202,0.3370920286400798,0.6616865591149728,0.3383134408850272
4,49,False,0.32354222481982814,94,93,0.19986642367891388,0.19991849331247905,0.19995224939237172,0.19996325951293217,0.20029957410330168,5.206963356516048e-05,1.6092934265151757,0.9148936170212766,0.0,0.0,0.0,0.0851063829787234,0.6161243392193965,0.3838756607806035,0.6159258058496888,0.3840741941503111,0.6158030514464033,0.3841969485535967,0.6157639591566164,0.3842360408433835,0.6147456254616248,0.38525437453837524
5,59,False,0.009743278848247465,105,103,0.2000130285444223,0.20000776664693257,0.20000441128195898,0.20000332532308523,0.1999714682035994,5.261897489727829e-06,1.6093621372325926,0.9238095238095239,0.0,0.0,0.0,0.0761904761904762,0.6171508734161211,0.38284912658387893,0.6171126723991626,0.3828873276008374,0.6170900571946992,0.38290994280530083,0.6170830179614826,0.3829169820385175,0.6169274875403856,0.3830725124596145
6,69,False,0.08557839619626956,98,96,0.1995893999663876,0.19976864011800344,0.19987996790379417,0.1999154925812808,0.20084649943053282,0.00017924015161582818,1.6093631047870482,0.8367346938775511,0.0,0.0,0.0,0.16326530612244897,0.6042294212410884,0.3957705787589117,0.6042094258510317,0.39579057414896823,0.6041994102772292,0.39580058972277077,0.6041966052057725,0.3958033947942276,0.6041916780997587,0.39580832190024134
7,79,False,0.004172046429180915,88,87,0.19986508742694714,0.1999195317226468,0.1999544365213171,0.19996575377022097,0.20029519055886694,5.444429569964604e-05,1.6093717116498722,0.9090909090909091,0.0,0.0,0.0,0.09090909090909091,0.6036746484816963,0.39632535151830367,0.6036259785110246,0.3963740214889753,0.6035975509330368,0.39640244906696326,0.6035887717227134,0.3964112282772867,0.603409313257977,0.3965906867420229
8,89,False,0.12150054630767844,102,99,0.20009380090710743,0.2000540102212774,0.20002900852227734,0.20002098343809563,0.19980219691124085,3.9790685830043415e-05,1.6093886581135113,0.9117647058823529,0.0,0.0,0.0,0.08823529411764706,0.6219373199548159,0.37806268004518406,0.6218821497079761,0.378117850292024,0.6218479921901335,0.3781520078098664,0.621837108345419,0.37816289165458095,0.6215533873983978,0.37844661260160206
9,99,False,0.01388110754774715,114,113,0.19960029137132687,0.19976514722695476,0.19986992505420495,0.1999037503331885,0.20086088601432345,0.0001648558556278934,1.6093278233481332,0.8245614035087719,0.0,0.0,0.0,0.17543859649122806,0.6202729214435665,0.37972707855643345,0.6200651097016014,0.3799348902983986,0.6199346050343517,0.3800653949656483,0.6198927255245704,0.38010727447542964,0.6187518558426028,0.38124814415739716
