round,belief_entropy_mean,matched_cross_entropy,belief_argmax_accuracy,batch_log_likelihood,alpha_logged,prototype_step_m,prototype_update_norm,belief_change_norm
0,0.693143711993368,1.360212166675833,0.5184210526315789,-0.7019989736301749,1.0,0,0.0,0.19209785356893178
1,0.693141990668724,1.360212166675833,0.531578947368421,-0.7019989736301749,0.6597539553864471,0,0.0,0.09569006974747352
2,0.6931397651954716,1.360212166675833,0.5447368421052632,-0.7019989736301749,0.5172818579717866,0,0.0,0.1233718582819825
3,0.6931380438708277,1.360212166675833,0.5578947368421052,-0.6845596954437457,0.43527528164806206,0,0.0,0.09569006974747352
4,0.6931338196411853,1.360212166675833,0.5684210526315789,-0.7019989736301749,0.3807307877431757,0,0.0,0.1787251015372746
5,0.6931303599838711,1.360212166675833,0.5815789473684211,-0.7019989736301749,0.34127875184653655,0,0.0,0.1646502712397137
6,0.6931278997145085,1.5868996365689558,0.4,-0.7019989736301749,0.3111294892118257,1,1.1355518568157945,0.13673427649991382
7,0.693074996793231,1.5868996365689558,0.4131578947368421,-1.421587002646035,0.2871745887492588,1,0.0,0.5282472106640053
8,0.6930210794297608,1.5868996365689558,0.42894736842105263,-1.421587002646035,0.2675805205867436,1,0.0,0.5282415251916722
9,0.6929889233506251,1.5868996365689558,0.4394736842105263,-1.421587002646035,0.251188643150958,1,0.0,0.32261589828625475
10,0.692938271659997,1.5868996365689558,0.45789473684210524,-0.27784905441847674,0.23722714866171576,1,0.0,0.7269276736851418
11,0.6929143959963564,1.5868996365689558,0.4631578947368421,-1.421587002646035,0.22516000642010225,1,0.0,0.2623127167285995
12,0.692778718650697,1.5868996365689558,0.48157894736842105,-0.27784905441847674,0.21460211045300662,1,0.0,0.9368148015214703
13,0.692724135566655,2.0009171973363413,0.5105263157894737,-1.421587002646035,0.20526891114486695,2,2.9555025280484353,0.46325516667292815
14,0.6926557023968632,2.0009171973363413,0.5210526315789473,-0.1533616626087105,0.19694512927085184,2,0.0,0.6119295726351033
15,0.6925617289317002,2.0009171973363413,0.5342105263157895,-1.95613734851738,0.18946457081379978,2,0.0,0.741112596273656
16,0.6924939716379214,2.0009171973363413,0.5447368421052632,-1.954816913053533,0.1826966765645725,2,0.0,0.5798782456233162
17,0.692466524353803,2.0009171973363413,0.55,-0.1531398341031231,0.17653730684146873,2,0.0,0.2416013869780977
18,0.6923601647840635,2.0009171973363413,0.5657894736842105,-0.15310481872868972,0.17090227321766677,2,0.0,0.8701538522425112
19,0.6922971131644191,2.0009171973363413,0.5710526315789474,-0.1533616626087105,0.16572270086699936,2,0.0,0.3526241510613703
20,0.6921621028459769,1.6589874386724375,0.5842105263157895,-0.15310481872868972,0.16094164024930613,3,2.9302791095118987,0.8830025296966155
21,0.6921568028516901,1.6589874386724375,0.5947368421052631,-0.2801884536603019,0.15651154965461567,3,0.0,0.1437237509091474
22,0.69214676306131,1.6589874386724375,0.6052631578947368,-0.2809083240386753,0.15239239637031693,3,0.0,0.23547982928802935
23,0.6921456016081885,1.6589874386724375,0.6078947368421053,-1.4092773099060978,0.1485502048305003,3,0.0,0.15233573541868195
24,0.6921427739886685,1.6589874386724375,0.618421052631579,-1.4089618901508052,0.1449559327355391,3,0.0,0.15915618898722578
25,0.6921319013573864,1.6589874386724375,0.6289473684210526,-1.4072437720267097,0.1415845912056503,3,0.0,0.17404801150605337
26,0.6921259272367142,1.6589874386724375,0.6342105263157894,-0.2809083240386753,0.1384145488461686,3,0.0,0.1065687138528762
27,0.6921188590070154,1.4165533700908661,0.6394736842105263,-0.2811191598621322,0.13542697604569512,4,1.528970039610619,0.16620646747153128
28,0.6921146523608859,1.4165533700908661,0.6447368421052632,-0.9147052114947055,0.1326053973592681,4,0.0,0.05191162794931026
29,0.6921105120106211,1.4165533700908661,0.6447368421052632,-0.5123940031918841,0.12993532803053964,4,0.0,0.04973847356157102
30,0.692108978930793,1.4165533700908661,0.65,-0.9145282926985053,0.12740397661775155,4,0.0,0.047782242226270866
31,0.692105182867986,1.4165533700908661,0.65,-0.5120066272867831,0.125,4,0.0,0.047819666968040075
32,0.6921048879400825,1.4165533700908661,0.6526315789473685,-0.5120240465374801,0.12271330022108154,4,0.0,0.022935323387817175
33,0.6921077470139465,1.4165533700908661,0.6552631578947369,-0.5123940031918841,0.12053485499943511,4,0.0,0.024843910458488605
34,0.6921067673355431,1.3641896842438093,0.6605263157894737,-0.9145282926985053,0.1184565755177503,5,0.25511652940541046,0.06029580403266688
35,0.6921004072262481,1.3641896842438093,0.6763157894736842,-0.7700199307699527,0.11647118646192989,5,0.0,0.1776232019744285
36,0.6920895370608041,1.3641896842438093,0.6763157894736842,-0.6217435105069936,0.11457212431821104,5,0.0,0.15782835149903285
37,0.6920720951885193,1.3641896842438093,0.6815789473684211,-0.7700199307699527,0.11275345073989092,5,0.0,0.17914899018508423
38,0.692068147863827,1.3641896842438093,0.6842105263157895,-0.7699043176406049,0.11100977841979782,5,0.0,0.08679578569129792
39,0.6920684163978906,1.3641896842438093,0.6894736842105263,-0.6229679884354713,0.10933620739432781,5,0.0,0.16006867406338238
40,0.692059376810697,1.3641896842438093,0.6973684210526315,-0.6216508692477851,0.10772827009130774,5,0.0,0.16219368064955259
41,0.6920576897023888,1.4102037562746186,0.7,-0.6217727946581146,0.10618188374086235,6,0.5748924620022569,0.08681475280950673
42,0.6920560304423218,1.4102037562746186,0.7026315789473684,-0.5023431148203172,0.10469330901369864,6,0.0,0.07937685023980606
43,0.692055960796232,1.4102037562746186,0.7026315789473684,-0.9301821655578506,0.10325911394829501,6,0.0,0.1114059464336053
44,0.6920525012321458,1.4102037562746186,0.7052631578947368,-0.9288334931561086,0.10187614238771993,6,0.0,0.09326935465914155
45,0.6920489009959413,1.4102037562746186,0.7078947368421052,-0.9292010117297622,0.10054148627613585,6,0.0,0.0882686065292041
46,0.692050085000262,1.4102037562746186,0.7052631578947368,-0.502408612715638,0.09925246127060626,6,0.0,0.1387435789737308
47,0.6920513918730985,1.4102037562746186,0.7078947368421052,-0.502408612715638,0.09800658521038948,6,0.0,0.06268324939904085
48,0.6920516955424966,1.393465598146898,0.2789473684210526,-0.9292010117297622,0.09680155905721158,7,0.22945389815549647,0.14627639349727894
49,0.6920515374007539,1.393465598146898,0.28421052631578947,-0.7974335357799419,0.0956352499790037,7,0.0,0.010473197372046439
50,0.6920518978062234,1.393465598146898,0.2868421052631579,-0.5987380738385386,0.09450567629859262,7,0.0,0.012433025241773865
51,0.692052277114967,1.393465598146898,0.29210526315789476,-0.5987184821409273,0.09341099406970098,7,0.0,0.018875124220255224
52,0.6920523428585761,1.393465598146898,0.29736842105263156,-0.7974541460633928,0.09234948507682411,7,0.0,0.007134110567814156
53,0.6920529098599155,1.393465598146898,0.3026315789473684,-0.5988302242740747,0.09131954608429033,7,0.0,0.010196005557416399
54,0.6920526356309735,1.393465598146898,0.30526315789473685,-0.598716892994229,0.09031967918404249,7,0.0,0.009640066948670645
55,0.6920527051865687,1.405295265834614,0.6921052631578948,-0.598840478304934,0.08934848311217299,8,0.5285075046202534,0.01827172987916842
56,0.6920493386655215,1.405295265834614,0.7,-0.5417962973954502,0.08840464542163656,8,0.0,0.05016404139119379
57,0.6920470530674016,1.405295265834614,0.7,-0.541611492160891,0.08748693541336866,8,0.0,0.047548419440900824
